DOI,Publication Year
10.1002/anie.201708924,2018
10.1002/anie.201709738,2017
10.1002/anie.201710019,2018
10.1002/anie.201710164,2017
10.1002/anie.201800423,2018
10.1002/anie.201800619,2018
10.1002/anie.201801116,2018
10.1002/anie.201801122,2018
10.1002/anie.201801957,2018
10.1002/anie.201802694,2018
10.1002/anie.201802911,2018
10.1002/anie.201803081,2018
10.1002/anie.201803766,2018
10.1002/anie.201804383,2018
10.1002/anie.201804792,2018
10.1002/anie.201805355,2018
10.1002/anie.201806076,2018
10.1002/anie.201806910,2018
10.1002/anie.201807935,2018
10.1002/anie.201808240,2018
10.1002/anie.201808568,2018
10.1002/anie.201808885,2018
10.1002/anie.201810095,2018
10.1002/anie.201810251,2018
10.1002/anie.201811037,2019
10.1002/anie.201811638,2019
10.1002/anie.201812827,2019
10.1002/anie.201813598,2019
10.1002/anie.201900519,2019
10.1002/anie.201900787,2019
10.1002/anie.201900863,2019
10.1002/anie.201901343,2019
10.1002/anie.201901707,2019
10.1002/anie.201901760,2019
10.1002/anie.201905006,2019
10.1002/anie.201905456,2019
10.1002/anie.201905869,2019
10.1002/anie.201906606,2019
10.1002/anie.201907074,2019
10.1002/anie.201907389,2019
10.1002/anie.201908959,2019
10.1002/anie.201909046,2019
10.1002/anie.201909912,2019
10.1002/anie.201909988,2019
10.1002/anie.201910141,2020
10.1002/anie.201910542,2019
10.1002/anie.201912195,2020
10.1002/anie.201912911,2020
10.1002/anie.201913698,2020
10.1002/anie.201913748,2020
10.1002/anie.201914089,2020
10.1002/anie.201915279,2020
10.1002/anie.201915848,2020
10.1002/anie.202000158,2020
10.1002/anie.202000299,2020
10.1002/anie.202000670,2020
10.1002/anie.202000678,2020
10.1002/anie.202000702,2020
10.1002/anie.202000795,2020
10.1002/anie.202002638,2020
10.1002/anie.202002705,2020
10.1002/anie.202003287,2020
10.1002/anie.202004205,2020
10.1002/anie.202005529,2020
10.1002/anie.202006124,2020
10.1002/anie.202006600,2020
10.1002/anie.202007146,2020
10.1002/anie.202007193,2020
10.1002/anie.202008260,2020
10.1002/anie.202008408,2020
10.1002/anie.202008943,2020
10.1002/anie.202009630,2020
10.1002/anie.202010783,2021
10.1002/anie.202011653,2021
10.1002/anie.202012019,2020
10.1002/anie.202012947,2021
10.1002/anie.202012971,2021
10.1002/anie.202013839,2021
10.1002/anie.202013885,2021
10.1002/anie.202014184,2021
10.1002/anie.202014791,2021
10.1002/anie.202015635,2021
10.1002/anie.202016522,2021
10.1002/anie.202016642,2021
10.1002/anie.202017042,2021
10.1002/anie.202100456,2021
10.1002/anie.202100675,2021
10.1002/anie.202102585,2021
10.1002/anie.202102670,2021
10.1002/anie.202105491,2021
10.1002/anie.202108150,2021
10.1002/anie.202110585,2021
10.1002/anie.202110629,2021
10.1002/anie.202111228,2022
10.1002/anie.202111893,2021
10.1002/anie.202112250,2021
10.1002/anie.202112880,2022
10.1002/anie.202114573,2022
10.1002/anie.202116145,2022
10.1002/anie.202117240,2022
10.1002/anie.202117345,2022
10.1002/anie.202200123,2022
10.1002/anie.202200242,2022
10.1002/anie.202201211,2022
10.1002/anie.202202207,2022
10.1002/anie.202203115,2022
10.1002/anie.202203250,2022
10.1002/anie.202204528,2022
10.1002/anie.202204568,2022
10.1002/anie.202204851,2022
10.1002/anie.202207467,2022
10.1002/anie.202207786,2022
10.1002/anie.202208139,2022
10.1002/anie.202209335,2022
10.1002/anie.202212532,2022
10.1002/anie.202213399,2023
10.1002/anie.202214748,2023
10.1002/anie.202215595,2023
10.1002/anie.202216699,2023
10.1002/anie.202217864,2023
10.1002/anie.202218027,2023
10.1002/anie.202218252,2023
10.1002/anie.202218590,2023
10.1002/anie.202219053,2023
10.1002/anie.202300721,2023
10.1002/anie.202301021,2023
10.1002/anie.202302436,2023
10.1002/anie.202302645,2023
10.1002/anie.202303102,2023
10.1002/anie.202303561,2023
10.1002/anie.202303753,2023
10.1002/anie.202303819,2023
10.1002/anie.202303903,2023
10.1002/anie.202305144,2023
10.1002/anie.202305646,2023
10.1002/anie.202306497,2023
10.1002/anie.202306905,2023
10.1002/anie.202307086,2023
10.1002/anie.202308506,2023
10.1002/anie.202308651,2023
10.1002/anie.202309108,2023
10.1002/anie.202310741,2023
10.1002/anie.202311983,2023
10.1002/anie.202312697,2023
10.1002/anie.202313591,2024
10.1002/anie.202316792,2023
10.1002/anie.202318475,2024
10.1002/anie.202319978,2024
10.1002/anie.202320008,2024
10.1002/anie.202320091,2024
10.1002/anie.202400162,2024
10.1002/anie.202401375,2024
10.1002/anie.202401817,2024
10.1002/anie.202405213,2024
10.1002/anie.202405333,2024
10.1002/anie.202408918,2024
10.1002/anie.202409211,2024
10.1002/anie.202409588,2024
10.1002/anie.202410043,2024
10.1002/anie.202411086,2024
10.1002/anie.202411440,2024
10.1002/anie.202411744,2024
10.1002/anie.202411960,2024
10.1002/anie.202412494,2024
10.1002/anie.202414026,2025
10.1002/anie.202414215,2025
10.1002/anie.202414271,2025
10.1002/anie.202414823,2025
10.1002/anie.202415576,2025
10.1002/anie.202415896,2025
10.1002/anie.202415919,2025
10.1002/anie.202417513,2025
10.1002/anie.202417658,2025
10.1002/anie.202417664,2025
10.1002/anie.202418901,2025
10.1002/anie.202419946,2025
10.1002/anie.202421132,2025
10.1002/anie.202421248,2025
10.1002/anie.202421822,2025
10.1002/anie.202421942,2025
10.1002/anie.202422517,2025
10.1002/anie.202422635,2025
10.1002/anie.202423341,2025
10.1002/anie.202423741,2025
10.1002/anie.202423939,2025
10.1002/anie.202500266,2025
10.1002/anie.202501053,2025
10.1002/anie.202502862,2025
10.1002/anie.202503855,2025
10.1002/anie.202505405,2025
10.1002/anie.202509741,2025
10.1002/anie.202510669,2025
10.1002/anie.202513208,2025
10.1002/aoc.1073,2006
10.1002/aoc.1325,2007
10.1002/aoc.3109,2014
10.1002/aoc.3313,2015
10.1002/aoc.3493,2016
10.1002/aoc.3528,2016
10.1002/aoc.3656,2017
10.1002/aoc.3715,2017
10.1002/aoc.3729,2017
10.1002/aoc.3746,2017
10.1002/aoc.3747,2017
10.1002/aoc.3798,2017
10.1002/aoc.3862,2017
10.1002/aoc.3866,2017
10.1002/aoc.3957,2018
10.1002/aoc.3995,2018
10.1002/aoc.4062,2018
10.1002/aoc.4065,2018
10.1002/aoc.4066,2018
10.1002/aoc.4307,2018
10.1002/aoc.4360,2018
10.1002/aoc.4370,2018
10.1002/aoc.4447,2018
10.1002/aoc.4469,2018
10.1002/aoc.4529,2018
10.1002/aoc.4629,2019
10.1002/aoc.4632,2019
10.1002/aoc.4679,2019
10.1002/aoc.4747,2019
10.1002/aoc.4801,2019
10.1002/aoc.4816,2019
10.1002/aoc.4819,2019
10.1002/aoc.4841,2019
10.1002/aoc.4843,2019
10.1002/aoc.4958,2019
10.1002/aoc.5027,2019
10.1002/aoc.5056,2019
10.1002/aoc.5176,2019
10.1002/aoc.5269,2020
10.1002/aoc.5281,2020
10.1002/aoc.5313,2020
10.1002/aoc.5317,2020
10.1002/aoc.5362,2020
10.1002/aoc.5470,2020
10.1002/aoc.5477,2020
10.1002/aoc.5521,2020
10.1002/aoc.5566,2020
10.1002/aoc.5575,2020
10.1002/aoc.5580,2020
10.1002/aoc.5603,2020
10.1002/aoc.5639,2020
10.1002/aoc.5654,2020
10.1002/aoc.5701,2020
10.1002/aoc.5712,2020
10.1002/aoc.5717,2020
10.1002/aoc.5782,2020
10.1002/aoc.5783,2020
10.1002/aoc.5905,2020
10.1002/aoc.5951,2020
10.1002/aoc.5965,2020
10.1002/aoc.5977,2020
10.1002/aoc.6039,2021
10.1002/aoc.6064,2021
10.1002/aoc.6190,2021
10.1002/aoc.6288,2021
10.1002/aoc.6319,2021
10.1002/aoc.6350,2021
10.1002/aoc.6360,2021
10.1002/aoc.6414,2021
10.1002/aoc.6434,2021
10.1002/aoc.6477,2022
10.1002/aoc.6566,2022
10.1002/aoc.6602,2022
10.1002/aoc.6634,2022
10.1002/aoc.6648,2022
10.1002/aoc.6653,2022
10.1002/aoc.6656,2022
10.1002/aoc.6676,2022
10.1002/aoc.6749,2022
10.1002/aoc.6769,2022
10.1002/aoc.6777,2022
10.1002/aoc.6800,2022
10.1002/aoc.6815,2022
10.1002/aoc.6866,2022
10.1002/aoc.6912,2023
10.1002/aoc.6955,2023
10.1002/aoc.70031,2025
10.1002/aoc.70035,2025
10.1002/aoc.70084,2025
10.1002/aoc.7011,2023
10.1002/aoc.70236,2025
10.1002/aoc.7078,2023
10.1002/aoc.7211,2023
10.1002/aoc.7224,2023
10.1002/aoc.7229,2023
10.1002/aoc.7326,2024
10.1002/aoc.7402,2024
10.1002/aoc.7409,2024
10.1002/aoc.7426,2024
10.1002/aoc.7429,2024
10.1002/aoc.7487,2024
10.1002/aoc.7498,2024
10.1002/aoc.7524,2024
10.1002/aoc.7590,2024
10.1002/aoc.7644,2024
10.1002/aoc.7663,2024
10.1002/aoc.7673,2024
10.1002/aoc.7754,2025
10.1002/aoc.7815,2025
10.1002/aoc.8004,2025
10.1002/aoc.848,2005
10.1002/asia.200600069,2006
10.1002/asia.200700209,2007
10.1002/asia.200800458,2009
10.1002/asia.200900078,2009
10.1002/asia.200900751,2010
10.1002/asia.201100918,2012
10.1002/asia.201300135,2013
10.1002/asia.201300147,2013
10.1002/asia.201300544,2013
10.1002/asia.201300548,2013
10.1002/asia.201300640,2013
10.1002/asia.201301244,2014
10.1002/asia.201301673,2014
10.1002/asia.201400097,2014
10.1002/asia.201403025,2015
10.1002/asia.201403123,2015
10.1002/asia.201403392,2015
10.1002/asia.201500509,2015
10.1002/asia.201500652,2015
10.1002/asia.201501422,2016
10.1002/asia.201600323,2016
10.1002/asia.201600434,2016
10.1002/asia.201600469,2016
10.1002/asia.201601134,2016
10.1002/asia.201700011,2017
10.1002/asia.201700018,2017
10.1002/asia.201701189,2017
10.1002/asia.201701415,2017
10.1002/asia.201701706,2018
10.1002/asia.201800758,2018
10.1002/asia.201800799,2018
10.1002/asia.201800837,2018
10.1002/asia.201801255,2018
10.1002/asia.201801336,2018
10.1002/asia.201801748,2019
10.1002/asia.201801785,2019
10.1002/asia.201900021,2019
10.1002/asia.201900152,2019
10.1002/asia.201900391,2019
10.1002/asia.201900536,2019
10.1002/asia.201900608,2019
10.1002/asia.201900640,2019
10.1002/asia.201900853,2019
10.1002/asia.201901143,2019
10.1002/asia.201901246,2019
10.1002/asia.202000001,2020
10.1002/asia.202000143,2020
10.1002/asia.202001344,2021
10.1002/asia.202100145,2021
10.1002/asia.202100169,2021
10.1002/asia.202100270,2021
10.1002/asia.202100588,2021
10.1002/asia.202100883,2021
10.1002/asia.202101204,2022
10.1002/asia.202200129,2022
10.1002/asia.202200913,2022
10.1002/asia.202200949,2022
10.1002/asia.202300699,2023
10.1002/asia.202400237,2024
10.1002/asia.202400306,2024
10.1002/asia.202400346,2024
10.1002/asia.202400501,2024
10.1002/asia.202401035,2024
10.1002/asia.202401046,2025
10.1002/asia.202401205,2025
10.1002/asia.202401213,2025
10.1002/asia.202401519,2025
10.1002/asia.202500446,2025
10.1002/bio.2938,2016
10.1002/bio.2944,2016
10.1002/bio.3323,2017
10.1002/bio.3506,2018
10.1002/bio.3925,2021
10.1002/bio.4390,2022
10.1002/bio.4507,2023
10.1002/bkcs.10120,2015
10.1002/bkcs.10267,2015
10.1002/bkcs.10538,2015
10.1002/bkcs.11059,2017
10.1002/bkcs.11650,2019
10.1002/bkcs.12076,2020
10.1002/bkcs.12187,2021
10.1002/bkcs.12217,2021
10.1002/bkcs.12269,2021
10.1002/bkcs.12592,2022
10.1002/bkcs.12707,2023
10.1002/bkcs.70019,2025
10.1002/cbdv.202201246,2023
10.1002/cctc.201200232,2013
10.1002/cctc.201200792,2013
10.1002/cctc.201200878,2013
10.1002/cctc.201300032,2013
10.1002/cctc.201300241,2013
10.1002/cctc.201300371,2013
10.1002/cctc.201300529,2013
10.1002/cctc.201300756,2014
10.1002/cctc.201400056,2014
10.1002/cctc.201402101,2014
10.1002/cctc.201402546,2014
10.1002/cctc.201402867,2015
10.1002/cctc.201500113,2015
10.1002/cctc.201500747,2015
10.1002/cctc.201501020,2016
10.1002/cctc.201501340,2016
10.1002/cctc.201600294,2016
10.1002/cctc.201600480,2016
10.1002/cctc.201600774,2016
10.1002/cctc.201600808,2017
10.1002/cctc.201600952,2016
10.1002/cctc.201600985,2016
10.1002/cctc.201601407,2017
10.1002/cctc.201601578,2017
10.1002/cctc.201601606,2017
10.1002/cctc.201700169,2017
10.1002/cctc.201700656,2017
10.1002/cctc.201700784,2017
10.1002/cctc.201701439,2018
10.1002/cctc.201701984,2018
10.1002/cctc.201702014,2018
10.1002/cctc.201800023,2018
10.1002/cctc.201800137,2018
10.1002/cctc.201800148,2018
10.1002/cctc.201800187,2018
10.1002/cctc.201800908,2019
10.1002/cctc.201801111,2018
10.1002/cctc.201801127,2018
10.1002/cctc.201801293,2018
10.1002/cctc.201801311,2018
10.1002/cctc.201801525,2018
10.1002/cctc.201900124,2019
10.1002/cctc.201900735,2019
10.1002/cctc.202000467,2020
10.1002/cctc.202001622,2021
10.1002/cctc.202100245,2021
10.1002/cctc.202100425,2021
10.1002/cctc.202100977,2021
10.1002/cctc.202200235,2022
10.1002/cctc.202200994,2022
10.1002/cctc.202201040,2022
10.1002/cctc.202301123,2024
10.1002/cctc.202400112,2024
10.1002/cctc.202400119,2024
10.1002/cctc.202400429,2024
10.1002/cctc.202400840,2024
10.1002/cctc.202400906,2024
10.1002/cctc.202401636,2025
10.1002/cctc.202401797,2025
10.1002/cctc.202401849,2025
10.1002/cey2.445,2024
10.1002/chem.200400178,2004
10.1002/chem.200400762,2005
10.1002/chem.200401201,2005
10.1002/chem.200600270,2006
10.1002/chem.200601246,2007
10.1002/chem.200700181,2007
10.1002/chem.200800240,2008
10.1002/chem.200800430,2008
10.1002/chem.200801064,2008
10.1002/chem.200801856,2009
10.1002/chem.200801948,2009
10.1002/chem.200802691,2009
10.1002/chem.200901391,2009
10.1002/chem.200902346,2010
10.1002/chem.200903053,2010
10.1002/chem.200903239,2010
10.1002/chem.201000580,2010
10.1002/chem.201001256,2010
10.1002/chem.201001549,2010
10.1002/chem.201002568,2011
10.1002/chem.201002993,2011
10.1002/chem.201003211,2011
10.1002/chem.201003634,2011
10.1002/chem.201003708,2011
10.1002/chem.201100176,2011
10.1002/chem.201100185,2011
10.1002/chem.201100226,2011
10.1002/chem.201101015,2011
10.1002/chem.201101183,2012
10.1002/chem.201101239,2011
10.1002/chem.201101383,2011
10.1002/chem.201101477,2011
10.1002/chem.201101520,2012
10.1002/chem.201101530,2012
10.1002/chem.201101595,2011
10.1002/chem.201101963,2012
10.1002/chem.201102295,2012
10.1002/chem.201102357,2012
10.1002/chem.201102953,2012
10.1002/chem.201103524,2012
10.1002/chem.201104001,2012
10.1002/chem.201200696,2012
10.1002/chem.201200889,2012
10.1002/chem.201200957,2012
10.1002/chem.201200980,2012
10.1002/chem.201201743,2013
10.1002/chem.201201820,2012
10.1002/chem.201203093,2012
10.1002/chem.201203145,2013
10.1002/chem.201203154,2013
10.1002/chem.201203636,2013
10.1002/chem.201300144,2013
10.1002/chem.201300477,2013
10.1002/chem.201301041,2013
10.1002/chem.201301139,2013
10.1002/chem.201301536,2013
10.1002/chem.201302541,2014
10.1002/chem.201303610,2014
10.1002/chem.201303627,2014
10.1002/chem.201304246,2014
10.1002/chem.201304529,2014
10.1002/chem.201304784,2014
10.1002/chem.201400285,2014
10.1002/chem.201400371,2014
10.1002/chem.201402006,2014
10.1002/chem.201402292,2014
10.1002/chem.201402365,2014
10.1002/chem.201402923,2014
10.1002/chem.201403115,2014
10.1002/chem.201403162,2014
10.1002/chem.201403382,2014
10.1002/chem.201403909,2015
10.1002/chem.201404803,2015
10.1002/chem.201404829,2014
10.1002/chem.201405178,2015
10.1002/chem.201405252,2015
10.1002/chem.201405380,2015
10.1002/chem.201405859,2015
10.1002/chem.201405921,2015
10.1002/chem.201405984,2015
10.1002/chem.201406119,2015
10.1002/chem.201406157,2015
10.1002/chem.201406531,2015
10.1002/chem.201500007,2015
10.1002/chem.201500615,2015
10.1002/chem.201500815,2015
10.1002/chem.201501029,2015
10.1002/chem.201501193,2015
10.1002/chem.201501337,2015
10.1002/chem.201501486,2015
10.1002/chem.201501649,2015
10.1002/chem.201501816,2015
10.1002/chem.201501976,2015
10.1002/chem.201501988,2015
10.1002/chem.201502203,2015
10.1002/chem.201502515,2015
10.1002/chem.201502758,2015
10.1002/chem.201502918,2016
10.1002/chem.201503078,2015
10.1002/chem.201503725,2016
10.1002/chem.201504576,2016
10.1002/chem.201504666,2016
10.1002/chem.201504747,2016
10.1002/chem.201504757,2016
10.1002/chem.201504907,2016
10.1002/chem.201504941,2016
10.1002/chem.201505139,2016
10.1002/chem.201505185,2016
10.1002/chem.201505215,2016
10.1002/chem.201600143,2016
10.1002/chem.201600189,2016
10.1002/chem.201600447,2016
10.1002/chem.201600526,2016
10.1002/chem.201600562,2016
10.1002/chem.201600843,2016
10.1002/chem.201600898,2016
10.1002/chem.201601250,2016
10.1002/chem.201601724,2016
10.1002/chem.201601870,2016
10.1002/chem.201601921,2016
10.1002/chem.201602127,2016
10.1002/chem.201602157,2016
10.1002/chem.201602318,2016
10.1002/chem.201602641,2016
10.1002/chem.201602924,2016
10.1002/chem.201603299,2016
10.1002/chem.201605473,2017
10.1002/chem.201605507,2017
10.1002/chem.201605903,2017
10.1002/chem.201606056,2017
10.1002/chem.201700985,2017
10.1002/chem.201701103,2017
10.1002/chem.201701460,2017
10.1002/chem.201702130,2017
10.1002/chem.201702430,2017
10.1002/chem.201702533,2017
10.1002/chem.201703126,2017
10.1002/chem.201703280,2017
10.1002/chem.201703510,2017
10.1002/chem.201703682,2017
10.1002/chem.201703827,2017
10.1002/chem.201704190,2018
10.1002/chem.201704341,2018
10.1002/chem.201704749,2018
10.1002/chem.201704771,2018
10.1002/chem.201704823,2018
10.1002/chem.201704901,2018
10.1002/chem.201705013,2018
10.1002/chem.201705023,2018
10.1002/chem.201705136,2018
10.1002/chem.201705530,2018
10.1002/chem.201705562,2018
10.1002/chem.201800149,2018
10.1002/chem.201800404,2018
10.1002/chem.201800612,2018
10.1002/chem.201800694,2018
10.1002/chem.201801267,2018
10.1002/chem.201801648,2018
10.1002/chem.201801821,2018
10.1002/chem.201802041,2018
10.1002/chem.201802124,2018
10.1002/chem.201802189,2018
10.1002/chem.201802387,2018
10.1002/chem.201802455,2018
10.1002/chem.201802804,2018
10.1002/chem.201802829,2018
10.1002/chem.201802838,2018
10.1002/chem.201803200,2018
10.1002/chem.201803221,2018
10.1002/chem.201803635,2018
10.1002/chem.201803842,2018
10.1002/chem.201803900,2018
10.1002/chem.201804133,2018
10.1002/chem.201804673,2019
10.1002/chem.201805024,2019
10.1002/chem.201805137,2018
10.1002/chem.201805697,2019
10.1002/chem.201806041,2019
10.1002/chem.201806146,2019
10.1002/chem.201806414,2019
10.1002/chem.201806417,2019
10.1002/chem.201900231,2019
10.1002/chem.201900329,2019
10.1002/chem.201900607,2019
10.1002/chem.201901118,2019
10.1002/chem.201901554,2019
10.1002/chem.201901939,2019
10.1002/chem.201902105,2019
10.1002/chem.201902274,2019
10.1002/chem.201902560,2019
10.1002/chem.201902874,2019
10.1002/chem.201902981,2019
10.1002/chem.201903630,2020
10.1002/chem.201903888,2019
10.1002/chem.201904798,2020
10.1002/chem.201905260,2020
10.1002/chem.201905280,2020
10.1002/chem.201905376,2020
10.1002/chem.201905596,2020
10.1002/chem.201905650,2020
10.1002/chem.202000085,2020
10.1002/chem.202000475,2020
10.1002/chem.202000505,2020
10.1002/chem.202000993,2020
10.1002/chem.202001052,2020
10.1002/chem.202001438,2020
10.1002/chem.202001468,2020
10.1002/chem.202001661,2020
10.1002/chem.202002293,2020
10.1002/chem.202002493,2020
10.1002/chem.202002541,2020
