DOI,Classification
10.1002/anie.201603320,Functional materials
10.1002/anie.201603687,Crystal engineering
10.1002/anie.201604730,Chemical synthesis
10.1002/anie.201604879,Chemical synthesis
10.1002/anie.201605547,Crystal engineering
10.1002/anie.201608463,Crystal engineering
10.1002/anie.201610914,Chemical synthesis
10.1002/anie.201611785,Functional materials
10.1002/anie.201612587,Chemical synthesis
10.1002/anie.201701217,Chemical synthesis
10.1002/anie.201701604,Crystal engineering
10.1002/anie.201702162,Functional materials
10.1002/anie.201706721,Functional materials
10.1002/anie.201707238,Functional materials
10.1002/anie.201707367,Chemical synthesis
10.1002/anie.201708092,Functional materials
10.1002/anie.201708843,Chemical synthesis
10.1002/anie.201708924,Chemical synthesis
10.1002/anie.201709738,Chemical synthesis
10.1002/anie.201710019,Chemical synthesis
10.1002/anie.201710164,Functional materials
10.1002/anie.201800423,Functional materials
10.1002/anie.201800619,Crystal engineering
10.1002/anie.201801116,Chemical synthesis
10.1002/anie.201801122,Chemical synthesis
10.1002/anie.201801957,Functional materials
10.1002/anie.201802694,Chemical synthesis
10.1002/anie.201802911,Crystal engineering
10.1002/anie.201803081,Chemical synthesis
10.1002/anie.201803766,Chemical synthesis
10.1002/anie.201804383,Functional materials
10.1002/anie.201804792,Functional materials
10.1002/anie.201805355,Crystal engineering
10.1002/anie.201806076,Chemical synthesis
10.1002/anie.201806910,Chemical synthesis
10.1002/anie.201807935,Functional materials
10.1002/anie.201808240,Crystal engineering
10.1002/anie.201808568,Functional materials
10.1002/anie.201808885,Functional materials
10.1002/anie.201810095,Chemical synthesis
10.1002/anie.201810251,Functional materials
10.1002/anie.201811037,Theory & modeling
10.1002/anie.201811638,Functional materials
10.1002/anie.201812827,Functional materials
10.1002/anie.201813598,Functional materials
10.1002/anie.201900519,Crystal engineering
10.1002/anie.201900787,Chemical synthesis
10.1002/anie.201900863,Crystal engineering
10.1002/anie.201901343,Chemical synthesis
10.1002/anie.201901707,Chemical synthesis
10.1002/anie.201901760,Functional materials
10.1002/anie.201905006,Functional materials
10.1002/anie.201905456,Crystal engineering
10.1002/anie.201905869,Functional materials
10.1002/anie.201906606,Chemical synthesis
10.1002/anie.201907074,Functional materials
10.1002/anie.201907389,Functional materials
10.1002/anie.201908959,Crystal engineering
10.1002/anie.201909046,Functional materials
10.1002/anie.201909912,Functional materials
10.1002/anie.201909988,Functional materials
10.1002/anie.201910141,Functional materials
10.1002/anie.201910542,Crystal engineering
10.1002/anie.201912195,Crystal engineering
10.1002/anie.201912911,Chemical synthesis
10.1002/anie.201913698,Functional materials
10.1002/anie.201913748,Functional materials
10.1002/anie.201914089,Chemical synthesis
10.1002/anie.201915279,Functional materials
10.1002/anie.201915848,Functional materials
10.1002/anie.202000158,Functional materials
10.1002/anie.202000299,Functional materials
10.1002/anie.202000670,Functional materials
10.1002/anie.202000678,Chemical synthesis
10.1002/anie.202000702,Functional materials
10.1002/anie.202000795,Crystal engineering
10.1002/anie.202002638,Crystal engineering
10.1002/anie.202002705,Chemical synthesis
10.1002/anie.202003287,Functional materials
10.1002/anie.202004205,Functional materials
10.1002/anie.202005529,Functional materials
10.1002/anie.202006124,Crystal engineering
10.1002/anie.202006600,Functional materials
10.1002/anie.202007146,Chemical synthesis
10.1002/anie.202007193,Functional materials
10.1002/anie.202008260,Functional materials
10.1002/anie.202008408,Functional materials
10.1002/anie.202008943,Functional materials
10.1002/anie.202009630,Functional materials
10.1002/anie.202010783,Functional materials
10.1002/anie.202011653,Crystal engineering
10.1002/anie.202012019,Functional materials
10.1002/anie.202012947,Functional materials
10.1002/anie.202012971,Chemical synthesis
10.1002/anie.202013839,Crystal engineering
10.1002/anie.202013885,Crystal engineering
10.1002/anie.202014184,Chemical synthesis
10.1002/anie.202014791,Crystal engineering
10.1002/anie.202015635,Crystal engineering
10.1002/anie.202016522,Crystal engineering
10.1002/anie.202016642,Chemical synthesis
10.1002/anie.202017042,Crystal engineering
10.1002/anie.202100456,Chemical synthesis
10.1002/anie.202100675,Functional materials
10.1002/anie.202102585,Functional materials
10.1002/anie.202102670,Functional materials
10.1002/anie.202105491,Functional materials
10.1002/anie.202108150,Chemical synthesis
10.1002/anie.202110585,Functional materials
10.1002/anie.202110629,Theory & modeling
10.1002/anie.202111228,Crystal engineering
10.1002/anie.202111893,Theory & modeling
10.1002/anie.202112250,Chemical synthesis
10.1002/anie.202112880,Functional materials
10.1002/anie.202114573,Theory & modeling
10.1002/anie.202116145,Functional materials
10.1002/anie.202117240,Crystal engineering
10.1002/anie.202117345,Functional materials
10.1002/anie.202200123,Functional materials
10.1002/anie.202200242,Theory & modeling
10.1002/anie.202201211,Theory & modeling
10.1002/anie.202202207,Functional materials
10.1002/anie.202203115,Functional materials
10.1002/anie.202203250,Functional materials
10.1002/anie.202204528,Functional materials
10.1002/anie.202204568,Functional materials
10.1002/anie.202204851,Chemical synthesis
10.1002/anie.202207467,Crystal engineering
10.1002/anie.202207786,Functional materials
10.1002/anie.202208139,Chemical synthesis
10.1002/anie.202209335,Functional materials
10.1002/anie.202212532,Functional materials
10.1002/anie.202213399,Theory & modeling
10.1002/anie.202214748,Functional materials
10.1002/anie.202215595,Chemical synthesis
10.1002/anie.202216699,Functional materials
10.1002/anie.202217864,Functional materials
10.1002/anie.202218027,Functional materials
10.1002/anie.202218252,Functional materials
10.1002/anie.202218590,Chemical synthesis
10.1002/anie.202219053,Functional materials
10.1002/anie.202300721,Functional materials
10.1002/anie.202301021,Functional materials
10.1002/anie.202302436,Functional materials
10.1002/anie.202302645,Functional materials
10.1002/anie.202303102,Functional materials
10.1002/anie.202303561,Functional materials
10.1002/anie.202303753,Chemical synthesis
10.1002/anie.202303819,Functional materials
10.1002/anie.202303903,Functional materials
10.1002/anie.202305144,Functional materials
10.1002/anie.202305646,Functional materials
10.1002/anie.202306497,Functional materials
10.1002/anie.202306905,Chemical synthesis
10.1002/anie.202307086,Theory & modeling
10.1002/anie.202308506,Chemical synthesis
10.1002/anie.202308651,Functional materials
10.1002/anie.202309108,Chemical synthesis
10.1002/anie.202310741,Chemical synthesis
10.1002/anie.202311983,Crystal engineering
10.1002/anie.202312697,Crystal engineering
10.1002/anie.202313591,Functional materials
10.1002/anie.202316792,Functional materials
10.1002/anie.202318475,Crystal engineering
10.1002/anie.202319978,Chemical synthesis
10.1002/anie.202320008,Functional materials
10.1002/anie.202320091,Chemical synthesis
10.1002/anie.202400162,Functional materials
10.1002/anie.202401375,Chemical synthesis
10.1002/anie.202401817,Functional materials
10.1002/anie.202405213,Chemical synthesis
10.1002/anie.202405333,Functional materials
10.1002/anie.202408918,Functional materials
10.1002/anie.202409211,Chemical synthesis
10.1002/anie.202409588,Functional materials
10.1002/anie.202410043,Functional materials
10.1002/anie.202411086,Functional materials
10.1002/anie.202411440,Functional materials
10.1002/anie.202411744,Crystal engineering
10.1002/anie.202411960,Functional materials
10.1002/anie.202412494,Crystal engineering
10.1002/anie.202414026,Crystal engineering
10.1002/anie.202414215,Functional materials
10.1002/anie.202414271,Functional materials
10.1002/anie.202414823,Functional materials
10.1002/anie.202415576,Crystal engineering
10.1002/anie.202415896,Functional materials
10.1002/anie.202415919,Crystal engineering
10.1002/anie.202417513,Functional materials
10.1002/anie.202417658,Functional materials
10.1002/anie.202417664,Functional materials
10.1002/anie.202418901,Chemical synthesis
10.1002/anie.202419946,Functional materials
10.1002/anie.202421132,Functional materials
10.1002/anie.202421248,Functional materials
10.1002/anie.202421822,Functional materials
10.1002/anie.202421942,Chemical synthesis
10.1002/anie.202422517,Functional materials
10.1002/anie.202422635,Functional materials
10.1002/anie.202423341,Theory & modeling
10.1002/anie.202423741,Functional materials
10.1002/anie.202423939,Crystal engineering
10.1002/anie.202500266,Crystal engineering
10.1002/anie.202501053,Functional materials
10.1002/anie.202502862,Functional materials
10.1002/anie.202503855,Crystal engineering
10.1002/anie.202505405,Functional materials
10.1002/anie.202509741,Functional materials
10.1002/anie.202510669,Functional materials
10.1002/anie.202513208,Crystal engineering
10.1002/aoc.1073,Crystal engineering
10.1002/aoc.1325,Crystal engineering
10.1002/aoc.3109,Functional materials
10.1002/aoc.3313,Crystal engineering
10.1002/aoc.3493,Functional materials
10.1002/aoc.3528,Chemical synthesis
10.1002/aoc.3656,Functional materials
10.1002/aoc.3715,Chemical synthesis
10.1002/aoc.3729,Functional materials
10.1002/aoc.3746,Functional materials
10.1002/aoc.3747,Crystal engineering
10.1002/aoc.3798,Functional materials
10.1002/aoc.3862,Chemical synthesis
10.1002/aoc.3866,Functional materials
10.1002/aoc.3957,Chemical synthesis
10.1002/aoc.3995,Functional materials
10.1002/aoc.4062,Functional materials
10.1002/aoc.4065,Functional materials
10.1002/aoc.4066,Functional materials
10.1002/aoc.4307,Chemical synthesis
10.1002/aoc.4360,Functional materials
10.1002/aoc.4370,Functional materials
10.1002/aoc.4447,Crystal engineering
10.1002/aoc.4469,Functional materials
10.1002/aoc.4529,Functional materials
10.1002/aoc.4629,Functional materials
10.1002/aoc.4632,Functional materials
10.1002/aoc.4679,Functional materials
10.1002/aoc.4747,Chemical synthesis
10.1002/aoc.4801,Functional materials
10.1002/aoc.4816,Functional materials
10.1002/aoc.4819,Chemical synthesis
10.1002/aoc.4841,Functional materials
10.1002/aoc.4843,Functional materials
10.1002/aoc.4958,Functional materials
10.1002/aoc.5027,Chemical synthesis
10.1002/aoc.5056,Crystal engineering
10.1002/aoc.5176,Functional materials
10.1002/aoc.5269,Functional materials
10.1002/aoc.5281,Functional materials
10.1002/aoc.5313,Functional materials
10.1002/aoc.5317,Functional materials
10.1002/aoc.5362,Functional materials
10.1002/aoc.5470,Functional materials
10.1002/aoc.5477,Crystal engineering
10.1002/aoc.5521,Functional materials
10.1002/aoc.5566,Functional materials
10.1002/aoc.5575,Functional materials
10.1002/aoc.5580,Functional materials
10.1002/aoc.5603,Functional materials
10.1002/aoc.5639,Functional materials
10.1002/aoc.5654,Crystal engineering
10.1002/aoc.5701,Functional materials
10.1002/aoc.5712,Crystal engineering
10.1002/aoc.5717,Functional materials
10.1002/aoc.5782,Functional materials
10.1002/aoc.5783,Functional materials
10.1002/aoc.5905,Functional materials
10.1002/aoc.5951,Functional materials
10.1002/aoc.5965,Functional materials
10.1002/aoc.5977,Functional materials
10.1002/aoc.6039,Functional materials
10.1002/aoc.6064,Functional materials
10.1002/aoc.6190,Chemical synthesis
10.1002/aoc.6288,Functional materials
10.1002/aoc.6319,Functional materials
10.1002/aoc.6350,Functional materials
10.1002/aoc.6360,Theory & modeling
10.1002/aoc.6414,Functional materials
10.1002/aoc.6434,Functional materials
10.1002/aoc.6477,Functional materials
10.1002/aoc.6566,Functional materials
10.1002/aoc.6602,Functional materials
10.1002/aoc.6634,Functional materials
10.1002/aoc.6648,Functional materials
10.1002/aoc.6653,Chemical synthesis
10.1002/aoc.6656,Functional materials
10.1002/aoc.6676,Functional materials
10.1002/aoc.6749,Functional materials
10.1002/aoc.6769,Functional materials
10.1002/aoc.6777,Functional materials
10.1002/aoc.6800,Chemical synthesis
10.1002/aoc.6815,Functional materials
10.1002/aoc.6866,Functional materials
10.1002/aoc.6912,Chemical synthesis
10.1002/aoc.6955,Functional materials
10.1002/aoc.70031,Chemical synthesis
10.1002/aoc.70035,Functional materials
10.1002/aoc.70084,Functional materials
10.1002/aoc.7011,Chemical synthesis
10.1002/aoc.70236,Functional materials
10.1002/aoc.7078,Functional materials
10.1002/aoc.7211,Functional materials
10.1002/aoc.7224,Functional materials
10.1002/aoc.7229,Functional materials
10.1002/aoc.7326,Functional materials
10.1002/aoc.7402,Functional materials
10.1002/aoc.7409,Functional materials
10.1002/aoc.7426,Functional materials
10.1002/aoc.7429,Chemical synthesis
10.1002/aoc.7487,Functional materials
10.1002/aoc.7498,Functional materials
10.1002/aoc.7524,Functional materials
10.1002/aoc.7590,Crystal engineering
10.1002/aoc.7644,Functional materials
10.1002/aoc.7663,Functional materials
10.1002/aoc.7673,Functional materials
10.1002/aoc.7754,Functional materials
10.1002/aoc.7815,Functional materials
10.1002/aoc.8004,Chemical synthesis
10.1002/aoc.848,Crystal engineering
10.1002/asia.200600069,Crystal engineering
10.1002/asia.200700209,Functional materials
10.1002/asia.200800458,Crystal engineering
10.1002/asia.200900078,Crystal engineering
10.1002/asia.200900751,Crystal engineering
10.1002/asia.201100918,Functional materials
10.1002/asia.201300135,Crystal engineering
10.1002/asia.201300147,Functional materials
10.1002/asia.201300544,Chemical synthesis
10.1002/asia.201300548,Functional materials
10.1002/asia.201300640,Functional materials
10.1002/asia.201301244,Crystal engineering
10.1002/asia.201301673,Functional materials
10.1002/asia.201400097,Crystal engineering
10.1002/asia.201403025,Crystal engineering
10.1002/asia.201403123,Functional materials
10.1002/asia.201403392,Crystal engineering
10.1002/asia.201500509,Functional materials
10.1002/asia.201500652,Crystal engineering
10.1002/asia.201501422,Crystal engineering
10.1002/asia.201600323,Theory & modeling
10.1002/asia.201600434,Functional materials
10.1002/asia.201600469,Functional materials
10.1002/asia.201601134,Functional materials
10.1002/asia.201700011,Crystal engineering
10.1002/asia.201700018,Crystal engineering
10.1002/asia.201701189,Functional materials
10.1002/asia.201701415,Chemical synthesis
10.1002/asia.201701706,Chemical synthesis
10.1002/asia.201800758,Functional materials
10.1002/asia.201800799,Functional materials
10.1002/asia.201800837,Chemical synthesis
10.1002/asia.201801255,Crystal engineering
10.1002/asia.201801336,Functional materials
10.1002/asia.201801748,Crystal engineering
10.1002/asia.201801785,Functional materials
10.1002/asia.201900021,Chemical synthesis
10.1002/asia.201900152,Functional materials
10.1002/asia.201900391,Chemical synthesis
10.1002/asia.201900536,Crystal engineering
10.1002/asia.201900608,Functional materials
10.1002/asia.201900640,Functional materials
10.1002/asia.201900853,Chemical synthesis
10.1002/asia.201901143,Functional materials
10.1002/asia.201901246,Functional materials
10.1002/asia.202000001,Chemical synthesis
10.1002/asia.202000143,Functional materials
10.1002/asia.202001344,Functional materials
10.1002/asia.202100145,Functional materials
10.1002/asia.202100169,Functional materials
10.1002/asia.202100270,Functional materials
10.1002/asia.202100588,Functional materials
10.1002/asia.202100883,Chemical synthesis
10.1002/asia.202101204,Crystal engineering
10.1002/asia.202200129,Crystal engineering
10.1002/asia.202200913,Functional materials
10.1002/asia.202200949,Functional materials
10.1002/asia.202300699,Functional materials
10.1002/asia.202400237,Crystal engineering
10.1002/asia.202400306,Chemical synthesis
10.1002/asia.202400346,Functional materials
10.1002/asia.202400501,Functional materials
10.1002/asia.202401035,Chemical synthesis
10.1002/asia.202401046,Functional materials
10.1002/asia.202401205,Functional materials
10.1002/asia.202401213,Functional materials
10.1002/asia.202401519,Functional materials
10.1002/asia.202500446,Functional materials
10.1002/bio.2938,Functional materials
10.1002/bio.2944,Functional materials
10.1002/bio.3323,Functional materials
10.1002/bio.3506,Functional materials
10.1002/bio.3925,Functional materials
10.1002/bio.4390,Functional materials
10.1002/bio.4507,Functional materials
10.1002/bkcs.10120,Crystal engineering
10.1002/bkcs.10267,Functional materials
10.1002/bkcs.10538,Crystal engineering
10.1002/bkcs.11059,Crystal engineering
10.1002/bkcs.11650,Chemical synthesis
10.1002/bkcs.12076,Functional materials
10.1002/bkcs.12187,Functional materials
10.1002/bkcs.12217,Functional materials
10.1002/bkcs.12269,Functional materials
10.1002/bkcs.12592,Chemical synthesis
10.1002/bkcs.12707,Functional materials
10.1002/bkcs.70019,Chemical synthesis
10.1002/cbdv.202201246,Chemical synthesis
10.1002/cctc.201200232,Functional materials
10.1002/cctc.201200792,Functional materials
10.1002/cctc.201200878,Functional materials
10.1002/cctc.201300032,Functional materials
10.1002/cctc.201300241,Functional materials
10.1002/cctc.201300371,Functional materials
10.1002/cctc.201300529,Chemical synthesis
10.1002/cctc.201300756,Chemical synthesis
10.1002/cctc.201400056,Functional materials
10.1002/cctc.201402101,Functional materials
10.1002/cctc.201402546,Functional materials
10.1002/cctc.201402867,Functional materials
10.1002/cctc.201500113,Chemical synthesis
10.1002/cctc.201500747,Functional materials
10.1002/cctc.201501020,Chemical synthesis
10.1002/cctc.201501340,Functional materials
10.1002/cctc.201600294,Chemical synthesis
10.1002/cctc.201600480,Chemical synthesis
10.1002/cctc.201600774,Functional materials
10.1002/cctc.201600808,Theory & modeling
10.1002/cctc.201600952,Functional materials
10.1002/cctc.201600985,Functional materials
10.1002/cctc.201601407,Functional materials
10.1002/cctc.201601578,Functional materials
10.1002/cctc.201601606,Functional materials
10.1002/cctc.201700169,Functional materials
10.1002/cctc.201700656,Chemical synthesis
10.1002/cctc.201700784,Functional materials
10.1002/cctc.201701439,Functional materials
10.1002/cctc.201701984,Functional materials
10.1002/cctc.201702014,Chemical synthesis
10.1002/cctc.201800023,Chemical synthesis
10.1002/cctc.201800137,Chemical synthesis
10.1002/cctc.201800148,Chemical synthesis
10.1002/cctc.201800187,Chemical synthesis
10.1002/cctc.201800908,Crystal engineering
10.1002/cctc.201801111,Functional materials
10.1002/cctc.201801127,Chemical synthesis
10.1002/cctc.201801293,Functional materials
10.1002/cctc.201801311,Functional materials
10.1002/cctc.201801525,Functional materials
10.1002/cctc.201900124,Chemical synthesis
10.1002/cctc.201900735,Functional materials
10.1002/cctc.202000467,Chemical synthesis
10.1002/cctc.202001622,Functional materials
10.1002/cctc.202100245,Chemical synthesis
10.1002/cctc.202100425,Chemical synthesis
10.1002/cctc.202100977,Functional materials
10.1002/cctc.202200235,Functional materials
10.1002/cctc.202200994,Functional materials
10.1002/cctc.202201040,Functional materials
10.1002/cctc.202301123,Functional materials
10.1002/cctc.202400112,Functional materials
10.1002/cctc.202400119,Functional materials
10.1002/cctc.202400429,Functional materials
10.1002/cctc.202400840,Functional materials
10.1002/cctc.202400906,Chemical synthesis
10.1002/cctc.202401636,Functional materials
10.1002/cctc.202401797,Functional materials
10.1002/cctc.202401849,Crystal engineering
10.1002/cey2.445,Chemical synthesis
10.1002/chem.200400178,Functional materials
10.1002/chem.200400762,Crystal engineering
10.1002/chem.200401201,Functional materials
10.1002/chem.200600270,Chemical synthesis
10.1002/chem.200601246,Crystal engineering
10.1002/chem.200700181,Crystal engineering
10.1002/chem.200800240,Crystal engineering
10.1002/chem.200800430,Crystal engineering
10.1002/chem.200801064,Crystal engineering
10.1002/chem.200801856,Crystal engineering
10.1002/chem.200801948,Crystal engineering
10.1002/chem.200802691,Crystal engineering
10.1002/chem.200901391,Functional materials
10.1002/chem.200902346,Functional materials
10.1002/chem.200903053,Functional materials
10.1002/chem.200903239,Crystal engineering
10.1002/chem.201000580,Crystal engineering
