DOI,Publisher,DOI Link,Classification
10.1007/s10562-019-02874-9,publisher_S,https://doi.org/10.1007/s10562-019-02874-9,Functional materials
10.1002/elan.202100423,publisher_W,https://doi.org/10.1002/elan.202100423,Functional materials
10.1039/c8ce00954f,publisher_R,https://doi.org/10.1039/c8ce00954f,Functional materials
10.1021/acsanm.8b01283,publisher_A,https://doi.org/10.1021/acsanm.8b01283,Functional materials
10.1039/c9ce01932d,publisher_R,https://doi.org/10.1039/c9ce01932d,Crystal engineering
10.1039/c5qi00241a,publisher_R,https://doi.org/10.1039/c5qi00241a,Functional materials
10.1021/cg900811k,publisher_A,https://doi.org/10.1021/cg900811k,Functional materials
10.1039/b813024h,publisher_R,https://doi.org/10.1039/b813024h,Crystal engineering
10.1021/ja803021v,publisher_A,https://doi.org/10.1021/ja803021v,Functional materials
10.1021/acs.cgd.6b00903,publisher_A,https://doi.org/10.1021/acs.cgd.6b00903,Functional materials
10.1039/c5ra21557a,publisher_R,https://doi.org/10.1039/c5ra21557a,Crystal engineering
10.1039/c9ce01779h,publisher_R,https://doi.org/10.1039/c9ce01779h,Functional materials
10.1039/c3ce40315g,publisher_R,https://doi.org/10.1039/c3ce40315g,Crystal engineering
10.1002/ejic.201403026,publisher_W,https://doi.org/10.1002/ejic.201403026,Crystal engineering
10.1039/b902954k,publisher_R,https://doi.org/10.1039/b902954k,Crystal engineering
10.1021/acs.cgd.3c01172,publisher_A,https://doi.org/10.1021/acs.cgd.3c01172,Crystal engineering
10.1002/ejic.201402128,publisher_W,https://doi.org/10.1002/ejic.201402128,Crystal engineering
10.1002/cplu.201500308,publisher_W,https://doi.org/10.1002/cplu.201500308,Functional materials
10.1021/acs.inorgchem.8b03001,publisher_A,https://doi.org/10.1021/acs.inorgchem.8b03001,Functional materials
10.1002/chem.201800149,publisher_W,https://doi.org/10.1002/chem.201800149,Chemical synthesis
10.1021/ic900611u,publisher_A,https://doi.org/10.1021/ic900611u,Functional materials
10.1002/ejic.201300123,publisher_W,https://doi.org/10.1002/ejic.201300123,Crystal engineering
10.1002/aoc.5977,publisher_W,https://doi.org/10.1002/aoc.5977,Functional materials
10.1039/d2ta08092c,publisher_R,https://doi.org/10.1039/d2ta08092c,Functional materials
10.1002/cjoc.201700310,publisher_W,https://doi.org/10.1002/cjoc.201700310,Crystal engineering
10.1007/s11243-023-00522-1,publisher_S,https://doi.org/10.1007/s11243-023-00522-1,Functional materials
10.1039/c2ce25911g,publisher_R,https://doi.org/10.1039/c2ce25911g,Chemical synthesis
10.1002/zaac.202000303,publisher_W,https://doi.org/10.1002/zaac.202000303,Functional materials
10.1039/c7nj01258f,publisher_R,https://doi.org/10.1039/c7nj01258f,Functional materials
10.1021/acs.inorgchem.7b01781,publisher_A,https://doi.org/10.1021/acs.inorgchem.7b01781,Chemical synthesis
10.1039/c9nj04382a,publisher_R,https://doi.org/10.1039/c9nj04382a,Functional materials
10.1039/c6tc04099c,publisher_R,https://doi.org/10.1039/c6tc04099c,Functional materials
10.1002/zaac.200900374,publisher_W,https://doi.org/10.1002/zaac.200900374,Crystal engineering
10.1039/c8nj02078g,publisher_R,https://doi.org/10.1039/c8nj02078g,Functional materials
10.1021/cg070458d,publisher_A,https://doi.org/10.1021/cg070458d,Crystal engineering
10.1039/d4nj02641a,publisher_R,https://doi.org/10.1039/d4nj02641a,Functional materials
10.1002/zaac.201500216,publisher_W,https://doi.org/10.1002/zaac.201500216,Crystal engineering
10.1039/b515151a,publisher_R,https://doi.org/10.1039/b515151a,Crystal engineering
10.1021/acs.cgd.1c00637,publisher_A,https://doi.org/10.1021/acs.cgd.1c00637,Crystal engineering
10.1039/c4ce02347a,publisher_R,https://doi.org/10.1039/c4ce02347a,Crystal engineering
10.1039/c3cc43383h,publisher_R,https://doi.org/10.1039/c3cc43383h,Crystal engineering
10.1007/s10876-024-02655-4,publisher_S,https://doi.org/10.1007/s10876-024-02655-4,Crystal engineering
10.1039/c2ce25422k,publisher_R,https://doi.org/10.1039/c2ce25422k,Crystal engineering
10.1039/c1jm12859k,publisher_R,https://doi.org/10.1039/c1jm12859k,Crystal engineering
10.1021/jacs.6b09463,publisher_A,https://doi.org/10.1021/jacs.6b09463,Functional materials
10.1002/cplu.201600163,publisher_W,https://doi.org/10.1002/cplu.201600163,Chemical synthesis
10.1021/ic502316v,publisher_A,https://doi.org/10.1021/ic502316v,Chemical synthesis
10.1039/c8dt03202e,publisher_R,https://doi.org/10.1039/c8dt03202e,Functional materials
10.1021/acs.inorgchem.2c00858,publisher_A,https://doi.org/10.1021/acs.inorgchem.2c00858,Functional materials
10.1002/chem.201504941,publisher_W,https://doi.org/10.1002/chem.201504941,Functional materials
10.1039/d2dt02792e,publisher_R,https://doi.org/10.1039/d2dt02792e,Functional materials
10.1002/zaac.201100429,publisher_W,https://doi.org/10.1002/zaac.201100429,Crystal engineering
10.1002/anie.201805355,publisher_W,https://doi.org/10.1002/anie.201805355,Crystal engineering
10.1021/acs.cgd.6b00176,publisher_A,https://doi.org/10.1021/acs.cgd.6b00176,Crystal engineering
10.1021/cm302585r,publisher_A,https://doi.org/10.1021/cm302585r,Functional materials
10.1002/zaac.202100380,publisher_W,https://doi.org/10.1002/zaac.202100380,Functional materials
10.1039/d1ce01308d,publisher_R,https://doi.org/10.1039/d1ce01308d,Functional materials
10.1039/c8cc07098a,publisher_R,https://doi.org/10.1039/c8cc07098a,Crystal engineering
10.1039/d4qi00436a,publisher_R,https://doi.org/10.1039/d4qi00436a,Functional materials
10.1002/cssc.202401248,publisher_W,https://doi.org/10.1002/cssc.202401248,Functional materials
10.1002/chem.201806041,publisher_W,https://doi.org/10.1002/chem.201806041,Crystal engineering
10.1039/c3dt50664a,publisher_R,https://doi.org/10.1039/c3dt50664a,Crystal engineering
10.1039/c7dt01116d,publisher_R,https://doi.org/10.1039/c7dt01116d,Crystal engineering
10.1007/s13738-020-01931-0,publisher_S,https://doi.org/10.1007/s13738-020-01931-0,Chemical synthesis
10.1039/c9tb01651a,publisher_R,https://doi.org/10.1039/c9tb01651a,Functional materials
10.1007/s10934-020-00941-w,publisher_S,https://doi.org/10.1007/s10934-020-00941-w,Functional materials
10.1002/ejic.201301039,publisher_W,https://doi.org/10.1002/ejic.201301039,Functional materials
10.1007/s11664-018-6622-x,publisher_S,https://doi.org/10.1007/s11664-018-6622-x,Functional materials
10.1002/anie.201801116,publisher_W,https://doi.org/10.1002/anie.201801116,Chemical synthesis
10.1007/s10450-024-00504-4,publisher_S,https://doi.org/10.1007/s10450-024-00504-4,Functional materials
10.1039/c4dt00228h,publisher_R,https://doi.org/10.1039/c4dt00228h,Functional materials
10.1039/d3nj04256a,publisher_R,https://doi.org/10.1039/d3nj04256a,Functional materials
10.1021/acsami.7b07920,publisher_A,https://doi.org/10.1021/acsami.7b07920,Functional materials
10.1039/c9nj02064k,publisher_R,https://doi.org/10.1039/c9nj02064k,Crystal engineering
10.1039/d1nj03703j,publisher_R,https://doi.org/10.1039/d1nj03703j,Functional materials
10.1039/d1nj04982h,publisher_R,https://doi.org/10.1039/d1nj04982h,Functional materials
10.1002/adsc.201000808,publisher_W,https://doi.org/10.1002/adsc.201000808,Chemical synthesis
10.1039/c6dt01852a,publisher_R,https://doi.org/10.1039/c6dt01852a,Functional materials
10.1039/c9nj05997k,publisher_R,https://doi.org/10.1039/c9nj05997k,Functional materials
10.1039/d4qi01105h,publisher_R,https://doi.org/10.1039/d4qi01105h,Functional materials
10.1007/s10876-020-01817-4,publisher_S,https://doi.org/10.1007/s10876-020-01817-4,Functional materials
10.1039/c5ta01484k,publisher_R,https://doi.org/10.1039/c5ta01484k,Chemical synthesis
10.1021/acs.inorgchem.2c00308,publisher_A,https://doi.org/10.1021/acs.inorgchem.2c00308,Functional materials
10.1039/c6dt03094g,publisher_R,https://doi.org/10.1039/c6dt03094g,Crystal engineering
10.1039/c1ce05154g,publisher_R,https://doi.org/10.1039/c1ce05154g,Crystal engineering
10.1002/zaac.201400024,publisher_W,https://doi.org/10.1002/zaac.201400024,Functional materials
10.1021/acs.cgd.0c00710,publisher_A,https://doi.org/10.1021/acs.cgd.0c00710,Crystal engineering
10.1039/c6cc06943f,publisher_R,https://doi.org/10.1039/c6cc06943f,Chemical synthesis
10.1039/c6cc07321b,publisher_R,https://doi.org/10.1039/c6cc07321b,Functional materials
10.1039/c8dt03964j,publisher_R,https://doi.org/10.1039/c8dt03964j,Functional materials
10.1039/d1dt02249k,publisher_R,https://doi.org/10.1039/d1dt02249k,Functional materials
10.1021/acs.inorgchem.7b03053,publisher_A,https://doi.org/10.1021/acs.inorgchem.7b03053,Functional materials
10.1021/acsami.3c04506,publisher_A,https://doi.org/10.1021/acsami.3c04506,Functional materials
10.1039/c6gc00413j,publisher_R,https://doi.org/10.1039/c6gc00413j,Functional materials
10.1002/ejic201000436,publisher_W,https://doi.org/10.1002/ejic201000436,Crystal engineering
10.1039/d1cc06250f,publisher_R,https://doi.org/10.1039/d1cc06250f,Crystal engineering
10.1039/c1jm12789f,publisher_R,https://doi.org/10.1039/c1jm12789f,Functional materials
10.1039/d1qi00104c,publisher_R,https://doi.org/10.1039/d1qi00104c,Functional materials
10.1021/am508079j,publisher_A,https://doi.org/10.1021/am508079j,Functional materials
10.1039/d2cc03661d,publisher_R,https://doi.org/10.1039/d2cc03661d,Functional materials
10.1039/c5cc04487a,publisher_R,https://doi.org/10.1039/c5cc04487a,Crystal engineering
10.1039/d4ce00096j,publisher_R,https://doi.org/10.1039/d4ce00096j,Functional materials
10.1002/ejic.201600192,publisher_W,https://doi.org/10.1002/ejic.201600192,Functional materials
10.1007/s10934-017-0374-5,publisher_S,https://doi.org/10.1007/s10934-017-0374-5,Chemical synthesis
10.1039/c3cc46105j,publisher_R,https://doi.org/10.1039/c3cc46105j,Chemical synthesis
10.1039/b804956d,publisher_R,https://doi.org/10.1039/b804956d,Crystal engineering
10.1002/chem.201002568,publisher_W,https://doi.org/10.1002/chem.201002568,Crystal engineering
10.1039/c5ce00181a,publisher_R,https://doi.org/10.1039/c5ce00181a,Crystal engineering
10.1039/c7qm00302a,publisher_R,https://doi.org/10.1039/c7qm00302a,Functional materials
10.1039/c3ce42451k,publisher_R,https://doi.org/10.1039/c3ce42451k,Functional materials
10.1021/acs.inorgchem.7b01191,publisher_A,https://doi.org/10.1021/acs.inorgchem.7b01191,Functional materials
10.1016/j.chempr.2017.09.002,publisher_E,https://doi.org/10.1016/j.chempr.2017.09.002,Functional materials
10.1039/c7cy00882a,publisher_R,https://doi.org/10.1039/c7cy00882a,Chemical synthesis
10.1021/acs.inorgchem.7b00744,publisher_A,https://doi.org/10.1021/acs.inorgchem.7b00744,Crystal engineering
10.1021/acs.inorgchem.7b01103,publisher_A,https://doi.org/10.1021/acs.inorgchem.7b01103,Functional materials
10.1021/acs.chemmater.4c03221,publisher_A,https://doi.org/10.1021/acs.chemmater.4c03221,Functional materials
10.1002/anie.201505512,publisher_W,https://doi.org/10.1002/anie.201505512,Theory & modeling
10.1002/chem.200902346,publisher_W,https://doi.org/10.1002/chem.200902346,Functional materials
10.1039/d2qi01763f,publisher_R,https://doi.org/10.1039/d2qi01763f,Functional materials
10.1039/c9dt04836g,publisher_R,https://doi.org/10.1039/c9dt04836g,Functional materials
10.1002/chem.202500130,publisher_W,https://doi.org/10.1002/chem.202500130,Crystal engineering
10.1039/d3dt00660c,publisher_R,https://doi.org/10.1039/d3dt00660c,Functional materials
10.1002/zaac.201900241,publisher_W,https://doi.org/10.1002/zaac.201900241,Crystal engineering
10.1039/c7cc07698c,publisher_R,https://doi.org/10.1039/c7cc07698c,Chemical synthesis
10.1002/ejic.201201228,publisher_W,https://doi.org/10.1002/ejic.201201228,Functional materials
10.1002/smll.202206116,publisher_W,https://doi.org/10.1002/smll.202206116,Functional materials
10.1002/anie.202313591,publisher_W,https://doi.org/10.1002/anie.202313591,Functional materials
10.1021/ja202223d,publisher_A,https://doi.org/10.1021/ja202223d,Functional materials
10.1002/anie.202311983,publisher_W,https://doi.org/10.1002/anie.202311983,Crystal engineering
10.1039/d1nj03176g,publisher_R,https://doi.org/10.1039/d1nj03176g,Functional materials
10.1039/d4dt01667j,publisher_R,https://doi.org/10.1039/d4dt01667j,Functional materials
10.1002/chem.202303725,publisher_W,https://doi.org/10.1002/chem.202303725,Functional materials
10.1021/ja508626n,publisher_A,https://doi.org/10.1021/ja508626n,Functional materials
10.1039/c2dt30184a,publisher_R,https://doi.org/10.1039/c2dt30184a,Crystal engineering
10.1002/aoc.3493,publisher_W,https://doi.org/10.1002/aoc.3493,Functional materials
10.1039/c8dt03826k,publisher_R,https://doi.org/10.1039/c8dt03826k,Functional materials
10.1039/b713705b,publisher_R,https://doi.org/10.1039/b713705b,Crystal engineering
10.1002/smll.202203356,publisher_W,https://doi.org/10.1002/smll.202203356,Chemical synthesis
10.1039/d5dt00801h,publisher_R,https://doi.org/10.1039/d5dt00801h,Functional materials
10.1002/elan.202200284,publisher_W,https://doi.org/10.1002/elan.202200284,Functional materials
10.1021/acssuschemeng.8b05306,publisher_A,https://doi.org/10.1021/acssuschemeng.8b05306,Functional materials
10.1002/smll.202309281,publisher_W,https://doi.org/10.1002/smll.202309281,Functional materials
10.1007/s00216-019-02004-9,publisher_S,https://doi.org/10.1007/s00216-019-02004-9,Functional materials
10.1039/c3dt52001c,publisher_R,https://doi.org/10.1039/c3dt52001c,Functional materials
10.1039/c3dt53167h,publisher_R,https://doi.org/10.1039/c3dt53167h,Functional materials
10.1021/acs.inorgchem.2c03152,publisher_A,https://doi.org/10.1021/acs.inorgchem.2c03152,Functional materials
10.1002/zaac.201000424,publisher_W,https://doi.org/10.1002/zaac.201000424,Crystal engineering
10.1039/c7sc04829g,publisher_R,https://doi.org/10.1039/c7sc04829g,Functional materials
10.1002/chem.201802455,publisher_W,https://doi.org/10.1002/chem.201802455,Functional materials
10.1039/d0gc02812f,publisher_R,https://doi.org/10.1039/d0gc02812f,Functional materials
10.1039/c5ce01123j,publisher_R,https://doi.org/10.1039/c5ce01123j,Functional materials
10.1021/acs.inorgchem.9b01258,publisher_A,https://doi.org/10.1021/acs.inorgchem.9b01258,Functional materials
10.1002/chem.201600843,publisher_W,https://doi.org/10.1002/chem.201600843,Functional materials
10.1021/ja411887c,publisher_A,https://doi.org/10.1021/ja411887c,Functional materials
10.1039/c5cc09459c,publisher_R,https://doi.org/10.1039/c5cc09459c,Functional materials
10.1039/d0nj01891k,publisher_R,https://doi.org/10.1039/d0nj01891k,Chemical synthesis
10.1021/acs.inorgchem.2c03078,publisher_A,https://doi.org/10.1021/acs.inorgchem.2c03078,Functional materials
10.1039/c5dt01770j,publisher_R,https://doi.org/10.1039/c5dt01770j,Functional materials
10.1021/acs.inorgchem.8b00080,publisher_A,https://doi.org/10.1021/acs.inorgchem.8b00080,Functional materials
10.1039/c002214d,publisher_R,https://doi.org/10.1039/c002214d,Crystal engineering
10.1039/d0cc04543h,publisher_R,https://doi.org/10.1039/d0cc04543h,Chemical synthesis
10.1002/chem.201902981,publisher_W,https://doi.org/10.1002/chem.201902981,Chemical synthesis
10.1039/d1ce00331c,publisher_R,https://doi.org/10.1039/d1ce00331c,Functional materials
10.1039/c3ta15071b,publisher_R,https://doi.org/10.1039/c3ta15071b,Functional materials
10.1039/c3dt51509e,publisher_R,https://doi.org/10.1039/c3dt51509e,Functional materials
10.1039/c7nj01592e,publisher_R,https://doi.org/10.1039/c7nj01592e,Functional materials
10.1002/slct.201800580,publisher_W,https://doi.org/10.1002/slct.201800580,Functional materials
10.1039/c2ta00030j,publisher_R,https://doi.org/10.1039/c2ta00030j,Functional materials
10.1039/c8cc09491h,publisher_R,https://doi.org/10.1039/c8cc09491h,Functional materials
10.1016/j.matt.2020.10.009,publisher_E,https://doi.org/10.1016/j.matt.2020.10.009,Chemical synthesis
10.1039/d3cc01831h,publisher_R,https://doi.org/10.1039/d3cc01831h,Crystal engineering
10.1021/acs.cgd.6b01732,publisher_A,https://doi.org/10.1021/acs.cgd.6b01732,Crystal engineering
10.1021/acs.cgd.7b01085,publisher_A,https://doi.org/10.1021/acs.cgd.7b01085,Crystal engineering
10.1039/c4qi00148f,publisher_R,https://doi.org/10.1039/c4qi00148f,Functional materials
10.1039/c3dt53415d,publisher_R,https://doi.org/10.1039/c3dt53415d,Crystal engineering
10.1039/d0nr04860g,publisher_R,https://doi.org/10.1039/d0nr04860g,Chemical synthesis
10.1021/acs.inorgchem.5c01963,publisher_A,https://doi.org/10.1021/acs.inorgchem.5c01963,Functional materials
10.1002/adfm.202307369,publisher_W,https://doi.org/10.1002/adfm.202307369,Functional materials
10.1021/ja104083y,publisher_A,https://doi.org/10.1021/ja104083y,Chemical synthesis
10.1002/chem.201101183,publisher_W,https://doi.org/10.1002/chem.201101183,Functional materials
10.1039/d2dt00389a,publisher_R,https://doi.org/10.1039/d2dt00389a,Functional materials
10.1002/anie.201808885,publisher_W,https://doi.org/10.1002/anie.201808885,Functional materials
10.1021/cg101130m,publisher_A,https://doi.org/10.1021/cg101130m,Chemical synthesis
10.1016/j.joule.2017.07.018,publisher_E,https://doi.org/10.1016/j.joule.2017.07.018,Functional materials
10.1039/c7ra09429a,publisher_R,https://doi.org/10.1039/c7ra09429a,Functional materials
10.1002/ejic.201900764,publisher_W,https://doi.org/10.1002/ejic.201900764,Functional materials
10.1021/cg501141m,publisher_A,https://doi.org/10.1021/cg501141m,Functional materials
10.1002/anie.202320008,publisher_W,https://doi.org/10.1002/anie.202320008,Functional materials
10.1039/d1qm00211b,publisher_R,https://doi.org/10.1039/d1qm00211b,Functional materials
10.1002/anie.201307681,publisher_W,https://doi.org/10.1002/anie.201307681,Chemical synthesis
10.1021/jacs.5b06929,publisher_A,https://doi.org/10.1021/jacs.5b06929,Functional materials
10.1039/d4qi01463d,publisher_R,https://doi.org/10.1039/d4qi01463d,Crystal engineering
10.1039/c2ce25160d,publisher_R,https://doi.org/10.1039/c2ce25160d,Crystal engineering
10.1021/acs.inorgchem.5b00435,publisher_A,https://doi.org/10.1021/acs.inorgchem.5b00435,Functional materials
10.1002/anie.201610914,publisher_W,https://doi.org/10.1002/anie.201610914,Chemical synthesis
10.1039/c3ce40484f,publisher_R,https://doi.org/10.1039/c3ce40484f,Functional materials
10.1007/s11243-018-0206-8,publisher_S,https://doi.org/10.1007/s11243-018-0206-8,Crystal engineering
10.1039/d0ce01061h,publisher_R,https://doi.org/10.1039/d0ce01061h,Functional materials
10.1007/s42114-024-01021-2,publisher_S,https://doi.org/10.1007/s42114-024-01021-2,Functional materials
10.1039/d0ta04778c,publisher_R,https://doi.org/10.1039/d0ta04778c,Functional materials
10.1039/d2nj00358a,publisher_R,https://doi.org/10.1039/d2nj00358a,Functional materials
10.1002/aoc.7524,publisher_W,https://doi.org/10.1002/aoc.7524,Functional materials
10.1021/acs.inorgchem.8b00683,publisher_A,https://doi.org/10.1021/acs.inorgchem.8b00683,Chemical synthesis
10.1039/c7dt03874g,publisher_R,https://doi.org/10.1039/c7dt03874g,Functional materials
10.1007/s10934-022-01412-0,publisher_S,https://doi.org/10.1007/s10934-022-01412-0,Functional materials
10.1021/acs.inorgchem.3c04559,publisher_A,https://doi.org/10.1021/acs.inorgchem.3c04559,Functional materials
10.1007/s00604-017-2439-1,publisher_S,https://doi.org/10.1007/s00604-017-2439-1,Functional materials
10.1039/c8ta03509a,publisher_R,https://doi.org/10.1039/c8ta03509a,Functional materials
10.1039/c7dt01595j,publisher_R,https://doi.org/10.1039/c7dt01595j,Functional materials
10.1039/d0cc08234a,publisher_R,https://doi.org/10.1039/d0cc08234a,Crystal engineering
10.1007/s11243-024-00585-8,publisher_S,https://doi.org/10.1007/s11243-024-00585-8,Crystal engineering
10.1039/d1nj00601k,publisher_R,https://doi.org/10.1039/d1nj00601k,Functional materials
10.1134/S1070328414110086,publisher_S,https://doi.org/10.1134/S1070328414110086,Crystal engineering
10.1002/zaac.201000181,publisher_W,https://doi.org/10.1002/zaac.201000181,Functional materials
10.1039/c7nj04854h,publisher_R,https://doi.org/10.1039/c7nj04854h,Crystal engineering
10.1039/b512098e,publisher_R,https://doi.org/10.1039/b512098e,Crystal engineering
10.1039/c9dt04051j,publisher_R,https://doi.org/10.1039/c9dt04051j,Crystal engineering
10.1002/chem.201100176,publisher_W,https://doi.org/10.1002/chem.201100176,Crystal engineering
10.1039/c3cc45310c,publisher_R,https://doi.org/10.1039/c3cc45310c,Functional materials
10.1039/c5dt04953a,publisher_R,https://doi.org/10.1039/c5dt04953a,Crystal engineering
10.1021/cg200856e,publisher_A,https://doi.org/10.1021/cg200856e,Crystal engineering
10.1021/cg301668g,publisher_A,https://doi.org/10.1021/cg301668g,Crystal engineering
10.1002/smll.202304057,publisher_W,https://doi.org/10.1002/smll.202304057,Functional materials
10.1039/b815935a,publisher_R,https://doi.org/10.1039/b815935a,Crystal engineering
10.1002/ejic.200900375,publisher_W,https://doi.org/10.1002/ejic.200900375,Functional materials
10.1039/d4na00643g,publisher_R,https://doi.org/10.1039/d4na00643g,Chemical synthesis
10.1039/c5ce00015g,publisher_R,https://doi.org/10.1039/c5ce00015g,Functional materials
10.1007/s10934-020-01002-y,publisher_S,https://doi.org/10.1007/s10934-020-01002-y,Crystal engineering
10.1007/s10876-018-1377-3,publisher_S,https://doi.org/10.1007/s10876-018-1377-3,Crystal engineering
10.1039/c7nj05032a,publisher_R,https://doi.org/10.1039/c7nj05032a,Crystal engineering
10.1021/ic000209d,publisher_A,https://doi.org/10.1021/ic000209d,Chemical synthesis
10.1039/d1nj05333g,publisher_R,https://doi.org/10.1039/d1nj05333g,Crystal engineering
10.1039/b900841a,publisher_R,https://doi.org/10.1039/b900841a,Functional materials
10.1039/d1ce00228g,publisher_R,https://doi.org/10.1039/d1ce00228g,Crystal engineering
10.1039/c8dt02467g,publisher_R,https://doi.org/10.1039/c8dt02467g,Functional materials
10.1039/c8dt01299g,publisher_R,https://doi.org/10.1039/c8dt01299g,Crystal engineering
10.1039/c2jm15523k,publisher_R,https://doi.org/10.1039/c2jm15523k,Crystal engineering
10.1021/ic0617644,publisher_A,https://doi.org/10.1021/ic0617644,Crystal engineering
10.1021/acs.chemmater.5b03723,publisher_A,https://doi.org/10.1021/acs.chemmater.5b03723,Crystal engineering
10.1039/c4ra02683g,publisher_R,https://doi.org/10.1039/c4ra02683g,Chemical synthesis
10.1039/c8cc07064d,publisher_R,https://doi.org/10.1039/c8cc07064d,Functional materials
10.1021/cg400394d,publisher_A,https://doi.org/10.1021/cg400394d,Crystal engineering
10.1039/c6dt02895k,publisher_R,https://doi.org/10.1039/c6dt02895k,Crystal engineering
10.1039/c7dt02040f,publisher_R,https://doi.org/10.1039/c7dt02040f,Functional materials
10.1002/ejoc.201900094,publisher_W,https://doi.org/10.1002/ejoc.201900094,Functional materials
10.1039/d2qo01257j,publisher_R,https://doi.org/10.1039/d2qo01257j,Functional materials
10.1039/d3ta07946e,publisher_R,https://doi.org/10.1039/d3ta07946e,Crystal engineering
10.1002/slct.202200592,publisher_W,https://doi.org/10.1002/slct.202200592,Chemical synthesis
10.1021/ja8057953,publisher_A,https://doi.org/10.1021/ja8057953,Functional materials
10.1002/ejic.201700871,publisher_W,https://doi.org/10.1002/ejic.201700871,Functional materials
10.1002/cctc.202400429,publisher_W,https://doi.org/10.1002/cctc.202400429,Functional materials
10.1039/c1ce05316g,publisher_R,https://doi.org/10.1039/c1ce05316g,Crystal engineering
10.1039/c2ce25456e,publisher_R,https://doi.org/10.1039/c2ce25456e,Chemical synthesis
10.1002/ejic.200500877,publisher_W,https://doi.org/10.1002/ejic.200500877,Crystal engineering
10.5012/bkcs.2012.33.11.3793,publisher_W,https://doi.org/10.5012/bkcs.2012.33.11.3793,Functional materials
10.1039/c7ce01734k,publisher_R,https://doi.org/10.1039/c7ce01734k,Functional materials
10.1021/cg1001573,publisher_A,https://doi.org/10.1021/cg1001573,Crystal engineering
10.1007/s10876-019-01703-8,publisher_S,https://doi.org/10.1007/s10876-019-01703-8,Functional materials
10.1002/aoc.5575,publisher_W,https://doi.org/10.1002/aoc.5575,Functional materials
10.1039/c8nj04715d,publisher_R,https://doi.org/10.1039/c8nj04715d,Functional materials
10.1039/d1qi00198a,publisher_R,https://doi.org/10.1039/d1qi00198a,Functional materials
10.1002/cssc.202102368,publisher_W,https://doi.org/10.1002/cssc.202102368,Functional materials
10.1007/s10570-022-04668-6,publisher_S,https://doi.org/10.1007/s10570-022-04668-6,Functional materials
10.1007/s10895-022-03055-5,publisher_S,https://doi.org/10.1007/s10895-022-03055-5,Functional materials
10.1007/s11243-019-00364-w,publisher_S,https://doi.org/10.1007/s11243-019-00364-w,Functional materials
10.1007/s10876-013-0613-0,publisher_S,https://doi.org/10.1007/s10876-013-0613-0,Crystal engineering
