doi,main_pdf,si_pdf,raw_output,parsed_json,article_trial_or_failure,article_trial_or_failure_notes,mof_name,crystal_code,metal_1,metal_1_abbr,metal_1_amount_text,metal_1_amount_value,metal_1_amount_unit,metal_2,metal_2_abbr,metal_2_amount_text,metal_2_amount_value,metal_2_amount_unit,metal_3,metal_3_abbr,metal_3_amount_text,metal_3_amount_value,metal_3_amount_unit,linker_1,linker_1_abbr,linker_1_amount_text,linker_1_amount_value,linker_1_amount_unit,linker_2,linker_2_abbr,linker_2_amount_text,linker_2_amount_value,linker_2_amount_unit,linker_3,linker_3_abbr,linker_3_amount_text,linker_3_amount_value,linker_3_amount_unit,modulator_1,modulator_1_abbr,modulator_1_amount_text,modulator_1_amount_value,modulator_1_amount_unit,modulator_2,modulator_2_abbr,modulator_2_amount_text,modulator_2_amount_value,modulator_2_amount_unit,solvent_main,solvent_main_abbr,solvent_main_amount_text,solvent_main_ml,solvent_secondary,solvent_secondary_abbr,solvent_secondary_amount_text,solvent_secondary_ml,temperature_c,temperature_c_text,time_h,time_text,vessel_type,stirring,washing_solvent,washing_cycles,activation_text,activation_temp_c,activation_time_h,crystal_morphology,yield_percent,crystal_size,topology_code,metal_cluster_connectivity,unit_cell_short,pore_diameter_A,BET_surface_area_m2g,air_stable,water_stable,tga_decomposition_temp_c,applications,reference,status,error
10.1021/acs.analchem.5b00391,downloaded\10.1021_acs.analchem.5b00391.pdf,SI downloaded\10.1021_acs.analchem.5b00391_SI.pdf,mof_json_store\10.1021_acs.analchem.5b00391\raw_output.json,mof_json_store\10.1021_acs.analchem.5b00391\synthesis_001.json,no,,RuMOFs (Ru(bpy)3 2+-functionalized bio-MOF-1),,Al(NO3)3·9H2O,,0.75 mmol,0.75,mmol,nan,,,,,nan,,,,,adenine,,0.25 mmol,0.25,mmol,"4,4′-biphenyl dicarboxylic acid",BPDC,0.5 mmol,0.5,mmol,,,,,,nitric acid,,2 mmol,2,mmol,"tris(2,2′-bipyridine) ruthenium(II) chloride hexahydrate",,0.0145 mmol,0.0145,mmol,"N,N-dimethylformamide",DMF,27 mL,27,water,H2O,2 mL,2,130,130 °C,24,24 h,,,"DMF, water",three times in turn,70 °C under vacuum for 2 h,70,2,rod-shaped crystals,,"length <100 μm, diameter <20 μm",,,,,424,not_reported,yes,,sensing;luminescence,10.1021/acs.analchem.5b00391,ok,
10.1021/acs.cgd.3c01222,downloaded\10.1021_acs.cgd.3c01222.pdf,SI downloaded\10.1021_acs.cgd.3c01222_SI.pdf,mof_json_store\10.1021_acs.cgd.3c01222\raw_output.json,mof_json_store\10.1021_acs.cgd.3c01222\synthesis_001.json,no,,,2267731,Zn(NO3)2·6H2O,,"0.1 mmol, 0.029 g",0.1,mmol,nan,,,,,nan,,,,,4-mercaptobenzoic acid,4-mba,"0.1 mmol, 0.015 g",0.1,mmol,"4,4'-bipyridine","4,4′-bpy","0.1 mmol, 0.016 g",0.1,mmol,,,,,,triethylamine,Et3N,"0.2 mmol, 0.021 g (used to neutralize 4-mba)",0.2,mmol,,,,,,water,H2O,1 mL (aqueous solution),1,methanol,MeOH,1 mL (methanolic solution),1,25,room temperature,168,a week,glass tube,static,50% MeOH,,dried,,,colorless block crystals,70,,,"Zn nodes (Zn1 PBP, Zn2 octahedral); 5-connected uninodal net","Monoclinic P21/c, a=12.5553(8) Å, b=19.6709(13) Å, c=27.0962(17) Å, β=93.770(3)°, Z=4",,,not_reported,not_reported,230,,10.1021/acs.cgd.3c01222,ok,
10.1038/s41467-020-18968-7,downloaded\10.1038_s41467-020-18968-7.pdf,SI downloaded\10.1038_s41467-020-18968-7_SI.pdf,mof_json_store\10.1038_s41467-020-18968-7\raw_output.json,mof_json_store\10.1038_s41467-020-18968-7\synthesis_001.json,no,,KMF-1,19847011984702,Zn(NO3)2·6H2O,,3.333 g,15.3255,mmol,nan,,,,,nan,,,,,"2,5-pyrroledicarboxylic acid",PyDC,1.551 g,1.551,g,,,,,,,,,,,sodium hydroxide,NaOH,0.8 g,0.8,g,,,,,,deionized water,H2O,27 mL (for Al precursor solution) + 27 mL (for linker/NaOH solution),,,,,,120,120 °C under reflux,12,12 h,glass flask (reflux),stirred,"deionized water, ethanol",,150 °C under vacuum for 12 h,150,12,white powder,93,0.4–1 μm (particles),,cis-corner-sharing AlO6 octahedral chains (μ-OH bridged),"hydrated: a=21.1772(2) Å, c=10.70115(17) Å, I41md",5.7,1130,not_reported,yes,300,adsorption_cooling;heat_pump;water_harvesting,10.1038/s41467-020-18968-7,ok,
10.1021/acs.cgd.6b01538,downloaded\10.1021_acs.cgd.6b01538.pdf,,mof_json_store\10.1021_acs.cgd.6b01538\raw_output.json,mof_json_store\10.1021_acs.cgd.6b01538\synthesis_001.json,no,,1-Ca,,Cd(NO3)2·4H2O,In(NO3)3·4.5H2O,78.7 mg,0.302134,mmol,nan,CaCl2,22.6 mg,22.6,mg,nan,,,,,"benzene-1,3,5-tricarboxylic acid",BTC,42.4 mg,42.4,mg,,,,,,,,,,,tetra-n-butylammonium chloride,N(n-C4H9)4Cl,28.7 mg,28.7,mg,,,,,,"N,N-dimethylformamide",DMF,8 mL,8,,,,,100,100 °C,120,"stirred 0.5 h at RT, then 5 days",Teflon-lined stainless steel autoclave,stirred 0.5 h then static,DMF,3× with 5 mL each,CH3CN exchange for 1 week with daily solvent change; activate under low vacuum at RT 4 h then 40 °C for 8 h,40,8,white block crystals,75,0.7 × 0.4 × 0.3 mm,,[InM(COO)4]+ paddle-wheel and tetrahedral [In(COO)4]− SBUs,"tetragonal, P42/ncm, a=b=19.5189(12) Å, c=24.2530(14) Å",5.9,805,not_reported,not_reported,200,CO2_capture;hydrogen storage,10.1021/acs.cgd.6b01538,ok,
10.1021/acs.cgd.6b01538,downloaded\10.1021_acs.cgd.6b01538.pdf,,mof_json_store\10.1021_acs.cgd.6b01538\raw_output.json,mof_json_store\10.1021_acs.cgd.6b01538\synthesis_002.json,no,,1-Sr,,Ni(NO3)2·6H2O,In(NO3)3·4.5H2O,78.7 mg,0.37335,mmol,nan,SrCl2·6H2O,53.3 mg,53.3,mg,nan,,,,,"benzene-1,3,5-tricarboxylic acid",BTC,42.4 mg,42.4,mg,,,,,,,,,,,tetra-n-butylammonium chloride,N(n-C4H9)4Cl,28.7 mg,28.7,mg,,,,,,"N,N-dimethylformamide",DMF,8 mL,8,,,,,100,100 °C,120,"stirred 0.5 h at RT, then 5 days",Teflon-lined stainless steel autoclave,stirred 0.5 h then static,DMF,3× with 5 mL each,CH3CN exchange for 1 week with daily solvent change; activate under low vacuum at RT 4 h then 40 °C for 8 h,40,8,white block crystals,82,0.6 × 0.4 × 0.2 mm,,[InM(COO)4]+ paddle-wheel and tetrahedral [In(COO)4]− SBUs,"tetragonal, P42/ncm, a=b=19.5615(10) Å, c=24.304(2) Å",6.4,654,not_reported,not_reported,240,CO2_capture;hydrogen storage,10.1021/acs.cgd.6b01538,ok,
10.1021/acs.cgd.6b01538,downloaded\10.1021_acs.cgd.6b01538.pdf,,mof_json_store\10.1021_acs.cgd.6b01538\raw_output.json,mof_json_store\10.1021_acs.cgd.6b01538\synthesis_003.json,no,,1-Ba,,Cd(NO3)2·4H2O,In(NO3)3·4.5H2O,78.7 mg,0.302134,mmol,nan,BaCl2·2H2O,49.4 mg,49.4,mg,nan,,,,,"benzene-1,3,5-tricarboxylic acid",BTC,42.4 mg,42.4,mg,,,,,,,,,,,tetra-n-butylammonium chloride,N(n-C4H9)4Cl,28.7 mg,28.7,mg,,,,,,"N,N-dimethylformamide",DMF,8 mL,8,,,,,100,100 °C,120,"stirred 0.5 h at RT, then 5 days",Teflon-lined stainless steel autoclave,stirred 0.5 h then static,DMF,3× with 5 mL each,CH3CN exchange for 1 week with daily solvent change; activate under low vacuum at RT 4 h then 40 °C for 8 h,40,8,white block crystals,86,0.6 × 0.4 × 0.3 mm,,[InM(COO)4]+ paddle-wheel and tetrahedral [In(COO)4]− SBUs,"tetragonal, P42/ncm, a=b=19.6511(15) Å, c=24.3346(19) Å",6.7,570,not_reported,not_reported,140,CO2_capture;hydrogen storage,10.1021/acs.cgd.6b01538,ok,
10.1021/acsami.5c01476,downloaded\10.1021_acsami.5c01476.pdf,SI downloaded\10.1021_acsami.5c01476_SI.pdf,mof_json_store\10.1021_acsami.5c01476\raw_output.json,mof_json_store\10.1021_acsami.5c01476\synthesis_001.json,yes,No solid with [EMIm]BF4 only; ethanol only gave 11.34% yield; interface gave 97.49%.,NH2-MIL-101(Fe),,Cd(NO3)2·4H2O,FeCl3·6H2O,270.3 mg,1.0377,mmol,nan,,,,,nan,,,,,2-aminoterephthalic acid,H2ATA,181.2 mg,181.2,mg,,,,,,,,,,,,,,,,,,,,,ethanol,EtOH,7 mL,7,1-ethyl-3-methylimidazolium tetrafluoroborate,,7 mL,7,25,room temperature,12,12 h,,,MeOH,,60 °C under vacuum,60,,stacked nanocrystals,97.49,60-100 nm,,,,38,1886.7,not_reported,not_reported,250,CO2_capture;cycloaddition catalysis,10.1021/acsami.5c01476,ok,
10.1021/acsami.5c01476,downloaded\10.1021_acsami.5c01476.pdf,SI downloaded\10.1021_acsami.5c01476_SI.pdf,mof_json_store\10.1021_acsami.5c01476\raw_output.json,mof_json_store\10.1021_acsami.5c01476\synthesis_002.json,yes,No solid with [EMIm]BF4 only; ethanol only gave 11.34% yield; interface gave 97.49%.,NH2-MIL-101(Fe),,Al(NO3)3·9H2O,FeCl3·6H2O,675 mg,2.73131,mmol,nan,,,,,nan,,,,,2-aminoterephthalic acid,H2ATA,225 mg,225,mg,,,,,,,,,,,,,,,,,,,,,"N,N-dimethylformamide",DMF,7.5 mL + 7.5 mL,,,,,,110,110 °C,12,12 h,vial,,"DMF, EtOH",,60 °C under vacuum,60,,microcrystals,,0.44–0.80 μm,,,,,1852.3,not_reported,not_reported,250,CO2_capture;cycloaddition catalysis,10.1021/acsami.5c01476,ok,
10.1039/c8ce00954f,downloaded\10.1039_c8ce00954f.pdf,SI downloaded\10.1039_c8ce00954f_SI.pdf,mof_json_store\10.1039_c8ce00954f\raw_output.json,mof_json_store\10.1039_c8ce00954f\synthesis_001.json,no,,MOF-5,,Al(NO3)3·9H2O,,"0.149 g, 0.5 mmol",0.5,mmol,nan,,,,,nan,,,,,terephthalic acid,H2BDC,"0.017 g, 0.1 mmol",0.1,mmol,,,,,,,,,,,,,,,,,,,,,"N,N-dimethylformamide",DMF,15 mL,15,,,,,120,120 °C,21,21 h,Teflon-lined autoclave (25 mL),static,"DMF, MeOH",DMF 3×; MeOH 2×,60 °C under high vacuum (<1e-7 bar),60,,cubic crystals,,~40 μm,,Zn4O cluster-based framework,,,,not_reported,not_reported,400,,10.1039/c8ce00954f,ok,
10.1039/c8ce00954f,downloaded\10.1039_c8ce00954f.pdf,SI downloaded\10.1039_c8ce00954f_SI.pdf,mof_json_store\10.1039_c8ce00954f\raw_output.json,mof_json_store\10.1039_c8ce00954f\synthesis_002.json,no,,MOF-5 (2D nanosheets),,Al(NO3)3·9H2O,,"0.149 g, 0.5 mmol",0.5,mmol,nan,,,,,nan,,,,,terephthalic acid,H2BDC,"0.017 g, 0.1 mmol",0.1,mmol,,,,,,,,,,,2-methylimidazole,2-MI,"4 mM in DMF, 10 mL (added dropwise)",,,,,,,,"N,N-dimethylformamide",DMF,60 mL DMF + 10 mL DMF (with 2-MI),,,,,,110,110 °C,24,24 h,Teflon-lined autoclave (100 mL),stirred 10 min at RT; then heated (static),"DMF, MeOH",3× each,60 °C under high vacuum (<1e-7 bar),60,,nanosheets (2D),,thickness ~4 nm,,Zn4O cluster-based framework,,,550,not_reported,not_reported,400,Knoevenagel catalysis,10.1039/c8ce00954f,ok,
10.1016/j.colsurfa.2023.133032,downloaded\10.1016_j.colsurfa.2023.133032.pdf,,mof_json_store\10.1016_j.colsurfa.2023.133032\raw_output.json,mof_json_store\10.1016_j.colsurfa.2023.133032\synthesis_001.json,no,,MIL-100(Fe),,Co(NO3)2·6H2O,,40 mL (Fe:BTC = 1:1),40,mL,nan,,,,,nan,,,,,"benzene-1,3,5-tricarboxylic acid",H3BTC,0.387 g,0.387,g,,,,,,,,,,,hydrochloric acid (present in acid leachate),HCl,"in acid leachate, not separately added",,,,,,,,water (acid leaching solution),H2O,40 mL (acid leaching solution),40,,,,,160,160 °C,15,15 h,Teflon-lined autoclave,stirred 60 min pre-mixing; static during heating,"deionized water, ethanol",three times,dried at 60 °C overnight,60,,yellowish powder (octahedral particles by SEM),,100–600 nm (SEM),,,,,1341.3966,not_reported,not_reported,,antibiotic_removal,10.1016/j.colsurfa.2023.133032,ok,
10.1021/acsami.5b10078,downloaded\10.1021_acsami.5b10078.pdf,SI downloaded\10.1021_acsami.5b10078_SI.pdf,mof_json_store\10.1021_acsami.5b10078\raw_output.json,mof_json_store\10.1021_acsami.5b10078\synthesis_001.json,no,,HKUST-1,,Co(NO3)2·6H2O,,1.75 g,8.29249,mmol,nan,,,,,nan,,,,,"benzene-1,3,5-tricarboxylic acid",BTC,0.84 g,0.84,g,,,,,,,,,,,,,,,,,,,,,ethanol,EtOH,48 mL,48,,,,,120,120 °C,14,14 h,Teflon-lined steel vessel,static,,,"dried at 80 °C for 12 h, then 150 °C under vacuum for 24 h",150,24,,,,,,,,854,not_reported,not_reported,,,10.1021/acsami.5b10078,ok,
10.1021/acsami.5b10078,downloaded\10.1021_acsami.5b10078.pdf,SI downloaded\10.1021_acsami.5b10078_SI.pdf,mof_json_store\10.1021_acsami.5b10078\raw_output.json,mof_json_store\10.1021_acsami.5b10078\synthesis_002.json,no,,MIL-53(Al),,Co(NO3)2·6H2O,,molar composition 1.5 (relative to H2BDC = 1),,,nan,,,,,nan,,,,,terephthalic acid,BDC,molar composition 1,,,,,,,,,,,,,,,,,,,,,,,"N,N-dimethylformamide",DMF,molar composition 95,,water,H2O,molar composition 153,,130,stirred at 80 °C then heated to 130 °C,48,48 h,Teflon-lined steel vessel,static,"DMF, MeOH",3×,"dried at 80 °C for 12 h, then 150 °C under vacuum for 24 h",150,24,,,,,,,,1317,not_reported,yes,,,10.1021/acsami.5b10078,ok,
10.1021/acs.cgd.4c00161,downloaded\10.1021_acs.cgd.4c00161.pdf,SI downloaded\10.1021_acs.cgd.4c00161_SI.pdf,mof_json_store\10.1021_acs.cgd.4c00161\raw_output.json,mof_json_store\10.1021_acs.cgd.4c00161\synthesis_002.json,no,,CUST-782,2322314,Ti(OiPr)4,,"0.08 mmol, 0.025 g",0.08,mmol,nan,,,,,nan,,,,,"3-(3,5-dicarboxylphenyl)-5-(pyrid-2-yl)-1H-1,2,4-triazole",H2dpycz,"0.06 mmol, 0.02 g",0.06,mmol,,,,,,,,,,,hydrochloric acid,HCl,two drops of 1 mol/L HCl,,,,,,,,acetonitrile,MeCN,3 mL,3,water (deionized),H2O,3 mL,3,160,160 °C,72,"sonicated 30 min, then heated 3 days",25 mL sealed autoclave,"sonicated 30 min, then static",acetonitrile,three times,,,,,82,,,1D chains via dpycz2−; H-bonded 2D,"a=8.2217(8) Å, b=9.7045(10) Å, c=11.9376(13) Å, α=91.608(6)°, β=103.467(6)°, γ=110.899(6)°, P-1",,,not_reported,yes,406,luminescence;sensing,10.1021/acs.cgd.4c00161,ok,
10.1021/acsami.5c04998,downloaded\10.1021_acsami.5c04998.pdf,,mof_json_store\10.1021_acsami.5c04998\raw_output.json,mof_json_store\10.1021_acsami.5c04998\synthesis_002.json,no,,DUT-5(Al),,Zn(NO3)2·6H2O,,262.6 mg (0.70 mmol),0.7,mmol,nan,,,,,nan,,,,,"biphenyl-4,4'-dicarboxylic acid",H2bpdc,170 mg (0.70 mmol),0.7,mmol,,,,,,,,,,,,,,,,,,,,,"N,N-dimethylformamide",DMF,45 mL,45,water,H2O,5 mL,5,150,reflux (150 °C),336,14 days,round-bottom flask (reflux),stirred,EtOH,3× (25 mL),dried at 100 °C overnight,100,,nanowires and spherical aggregates,,"NWs length 2–4 μm, diameter ~70 ± 20 nm; aggregates 500–700 nm",,oxo-bridged AlO6 chains (corner-sharing Al3+ octahedra),,,170,not_reported,not_reported,,,10.1021/acsami.5c04998,ok,
10.1021/acsami.5c04998,downloaded\10.1021_acsami.5c04998.pdf,,mof_json_store\10.1021_acsami.5c04998\raw_output.json,mof_json_store\10.1021_acsami.5c04998\synthesis_003.json,no,,DUT-5(Al),,Zn(NO3)2·6H2O,,262.6 mg (0.70 mmol),0.7,mmol,nan,,,,,nan,,,,,"biphenyl-4,4'-dicarboxylic acid",H2bpdc,170 mg (0.70 mmol),0.7,mmol,,,,,,,,,,,,,,,,,,,,,"N,N-dimethylformamide",DMF,45 mL,45,water,H2O,5 mL,5,150,reflux (150 °C),336,14 days,round-bottom flask (reflux),stirred,EtOH,3× (25 mL),dried at 100 °C overnight,100,,mixture of nanowires and nanorods,,,,oxo-bridged AlO6 chains (corner-sharing Al3+ octahedra),,,,not_reported,not_reported,,,10.1021/acsami.5c04998,ok,
10.1039/c8ce01203b,downloaded\10.1039_c8ce01203b.pdf,,mof_json_store\10.1039_c8ce01203b\raw_output.json,mof_json_store\10.1039_c8ce01203b\synthesis_001.json,no,,,1834434,Zn(NO3)2·6H2O,,"0.031 g, 0.1 mmol",0.1,mmol,nan,,,,,nan,,,,,"4,4′-(1H-1,2,4-triazol-1-yl)methylenebis(benzoic acid)",H2tmlb,"0.032 g, 0.1 mmol",0.1,mmol,,,,,,,,,,,,,,,,,,,,,acetonitrile,MeCN,3 mL,3,water,H2O,3 mL,3,130,130 °C,72,3 days,Teflon-lined autoclave (15 mL),"stirred 0.5 h, then static",,,,,,purple block crystals,29.42,,,tetranuclear Co4 carboxylate unit; binuclear Co2 carboxylate clusters,"Monoclinic, P21; a=8.0501(10) Å, b=38.764(5) Å, c=11.912(15) Å, α=90°, β=103.159(3)°, γ=90°",,,not_reported,yes,,photocatalysis,10.1039/c8ce01203b,ok,
