doi,article_trial_or_failure,article_trial_or_failure_notes,mof_name,crystal_code,metal_1,metal_1_abbr,metal_1_amount_text,metal_1_amount_value,metal_1_amount_unit,metal_2,metal_2_abbr,metal_2_amount_text,metal_2_amount_value,metal_2_amount_unit,metal_3,metal_3_abbr,metal_3_amount_text,metal_3_amount_value,metal_3_amount_unit,linker_1,linker_1_abbr,linker_1_amount_text,linker_1_amount_value,linker_1_amount_unit,linker_2,linker_2_abbr,linker_2_amount_text,linker_2_amount_value,linker_2_amount_unit,linker_3,linker_3_abbr,linker_3_amount_text,linker_3_amount_value,linker_3_amount_unit,modulator_1,modulator_1_abbr,modulator_1_amount_text,modulator_1_amount_value,modulator_1_amount_unit,modulator_2,modulator_2_abbr,modulator_2_amount_text,modulator_2_amount_value,modulator_2_amount_unit,solvent_main,solvent_main_abbr,solvent_main_amount_text,solvent_main_ml,solvent_secondary,solvent_secondary_abbr,solvent_secondary_amount_text,solvent_secondary_ml,temperature_c,temperature_c_text,time_h,time_text,vessel_type,stirring,washing_solvent,washing_cycles,activation_text,activation_temp_c,activation_time_h,crystal_morphology,yield_percent,crystal_size,topology_code,metal_cluster_connectivity,unit_cell_short,pore_diameter_A,BET_surface_area_m2g,air_stable,water_stable,tga_decomposition_temp_c,applications,reference,status,error
10.1021/acs.cgd.6b01533,yes,"At ZrCl4/H2BDC = 1:2 with Cu2O (R=1.2), product was amorphous/low crystallinity (sample 3a).",UiO-66,,ZrCl4,ZrCl4,0.317 g (1.362 mmol),1.362,mmol,,,,,,,,,,,terephthalic acid,H2BDC,0.226 g (1.362 mmol),1.362,mmol,,,,,,,,,,,acetic acid,AcOH,2.5 mL,,,cuprous oxide,Cu2O,0.136 mmol (R = 0.2),0.136,mmol,dimethylformamide,DMF,30 mL,30,,,,,120,120 °C,24,24 h,Teflon-lined autoclave (100 mL),ultrasonicated to dissolve; static during heating,"DMF, MeOH, H2O",several times,dried under vacuum at 60 °C overnight,60,,octahedra,,mean crystal size ~155 nm,,,,,1221,not_reported,not_reported,,,10.1021/acs.cgd.6b01533,ok,
10.1021/acs.cgd.6b01533,yes,"At ZrCl4/H2BDC = 1:2 with Cu2O (R=1.2), product was amorphous/low crystallinity (sample 3a).",UiO-66,,ZrCl4,ZrCl4,0.317 g (1.362 mmol),1.362,mmol,,,,,,,,,,,terephthalic acid,H2BDC,0.226 g (1.362 mmol),1.362,mmol,,,,,,,,,,,acetic acid,AcOH,2.5 mL,,,cuprous oxide,Cu2O,0.341 mmol (R = 0.5),0.341,mmol,dimethylformamide,DMF,30 mL,30,,,,,120,120 °C,24,24 h,Teflon-lined autoclave (100 mL),ultrasonicated to dissolve; static during heating,"DMF, MeOH, H2O",several times,dried under vacuum at 60 °C overnight,60,,octahedra,,mean crystal size ~96 nm,,,,,1240,not_reported,not_reported,,,10.1021/acs.cgd.6b01533,ok,
10.1021/acs.cgd.6b01533,yes,"At ZrCl4/H2BDC = 1:2 with Cu2O (R=1.2), product was amorphous/low crystallinity (sample 3a).",UiO-66,,ZrCl4,ZrCl4,0.317 g (1.362 mmol),1.362,mmol,,,,,,,,,,,terephthalic acid,H2BDC,0.226 g (1.362 mmol),1.362,mmol,,,,,,,,,,,acetic acid,AcOH,2.5 mL,,,cuprous oxide,Cu2O,0.681 mmol (R = 1.0),0.681,mmol,dimethylformamide,DMF,30 mL,30,,,,,120,120 °C,24,24 h,Teflon-lined autoclave (100 mL),ultrasonicated to dissolve; static during heating,"DMF, MeOH, H2O",several times,dried under vacuum at 60 °C overnight,60,,octahedra,,mean crystal size ~75 nm,,,,,1281,not_reported,not_reported,,,10.1021/acs.cgd.6b01533,ok,
10.1021/acs.cgd.6b01533,yes,"At ZrCl4/H2BDC = 1:2 with Cu2O (R=1.2), product was amorphous/low crystallinity (sample 3a).",UiO-66,,ZrCl4,ZrCl4,0.317 g (1.362 mmol),1.362,mmol,,,,,,,,,,,terephthalic acid,H2BDC,0.226 g (1.362 mmol),1.362,mmol,,,,,,,,,,,acetic acid,AcOH,2.5 mL,,,cuprous oxide,Cu2O,0.817 mmol (R = 1.2),0.817,mmol,dimethylformamide,DMF,30 mL,30,,,,,120,120 °C,24,24 h,Teflon-lined autoclave (100 mL),ultrasonicated to dissolve; static during heating,"DMF, MeOH, H2O",several times,dried under vacuum at 60 °C overnight,60,,nanocrystals,,mean crystal size ~48 nm,,,,,1164,not_reported,not_reported,,,10.1021/acs.cgd.6b01533,ok,
10.1021/acs.cgd.6b01533,yes,"At ZrCl4/H2BDC = 1:2 with Cu2O (R=1.2), product was amorphous/low crystallinity (sample 3a).",UiO-66,,ZrCl4,ZrCl4,0.317 g (1.362 mmol),1.362,mmol,,,,,,,,,,,terephthalic acid,H2BDC,0.226 g (1.362 mmol),1.362,mmol,,,,,,,,,,,acetic acid,AcOH,2.5 mL,,,cuprous oxide,Cu2O,1.021 mmol (R = 1.5),1.021,mmol,dimethylformamide,DMF,30 mL,30,,,,,120,120 °C,24,24 h,Teflon-lined autoclave (100 mL),ultrasonicated to dissolve; static during heating,"DMF, MeOH, H2O",several times,dried under vacuum at 60 °C overnight,60,,nanocrystals,,mean crystal size ~40 nm,,,,,1299,not_reported,not_reported,,,10.1021/acs.cgd.6b01533,ok,
10.1021/acs.cgd.6b01533,yes,"At ZrCl4/H2BDC = 1:2 with Cu2O (R=1.2), product was amorphous/low crystallinity (sample 3a).",UiO-66,,ZrCl4,ZrCl4,0.317 g (1.362 mmol),1.362,mmol,,,,,,,,,,,terephthalic acid,H2BDC,0.226 g (1.362 mmol),1.362,mmol,,,,,,,,,,,acetic acid,AcOH,2.5 mL,,,copper(I) chloride,CuCl,R = 0.5 (Cu/ZrCl4),,,dimethylformamide,DMF,30 mL,30,,,,,120,120 °C,24,24 h,Teflon-lined autoclave (100 mL),ultrasonicated to dissolve; static during heating,"DMF, MeOH, H2O",several times,dried under vacuum at 60 °C overnight,60,,octahedra,,mean crystal size ~91 nm,,,,,1318,not_reported,not_reported,,,10.1021/acs.cgd.6b01533,ok,
10.1021/acs.cgd.6b01533,yes,"At ZrCl4/H2BDC = 1:2 with Cu2O (R=1.2), product was amorphous/low crystallinity (sample 3a).",UiO-66,,ZrCl4,ZrCl4,0.317 g (1.362 mmol),1.362,mmol,,,,,,,,,,,terephthalic acid,H2BDC,0.226 g (1.362 mmol),1.362,mmol,,,,,,,,,,,acetic acid,AcOH,2.5 mL,,,copper(I) chloride,CuCl,R = 1.0 (Cu/ZrCl4),,,dimethylformamide,DMF,30 mL,30,,,,,120,120 °C,24,24 h,Teflon-lined autoclave (100 mL),ultrasonicated to dissolve; static during heating,"DMF, MeOH, H2O",several times,dried under vacuum at 60 °C overnight,60,,octahedra,,mean crystal size ~78 nm,,,,,1156,not_reported,not_reported,,,10.1021/acs.cgd.6b01533,ok,
10.1021/acs.cgd.6b01533,yes,"At ZrCl4/H2BDC = 1:2 with Cu2O (R=1.2), product was amorphous/low crystallinity (sample 3a).",UiO-66,,ZrCl4,ZrCl4,0.317 g (1.362 mmol),1.362,mmol,,,,,,,,,,,terephthalic acid,H2BDC,0.226 g (1.362 mmol),1.362,mmol,,,,,,,,,,,acetic acid,AcOH,2.5 mL,,,copper(I) chloride,CuCl,R = 1.2 (Cu/ZrCl4),,,dimethylformamide,DMF,30 mL,30,,,,,120,120 °C,24,24 h,Teflon-lined autoclave (100 mL),ultrasonicated to dissolve; static during heating,"DMF, MeOH, H2O",several times,dried under vacuum at 60 °C overnight,60,,octahedra,,mean crystal size ~61 nm,,,,,1286,not_reported,not_reported,,,10.1021/acs.cgd.6b01533,ok,
10.1021/acs.cgd.6b01533,yes,"At ZrCl4/H2BDC = 1:2 with Cu2O (R=1.2), product was amorphous/low crystallinity (sample 3a).",UiO-66,,ZrCl4,ZrCl4,0.317 g (1.362 mmol),1.362,mmol,,,,,,,,,,,terephthalic acid,H2BDC,0.226 g (1.362 mmol),1.362,mmol,,,,,,,,,,,acetic acid,AcOH,2.5 mL,,,copper(I) chloride,CuCl,R = 1.5 (Cu/ZrCl4),,,dimethylformamide,DMF,30 mL,30,,,,,120,120 °C,24,24 h,Teflon-lined autoclave (100 mL),ultrasonicated to dissolve; static during heating,"DMF, MeOH, H2O",several times,dried under vacuum at 60 °C overnight,60,,octahedra,,mean crystal size ~41 nm,,,,,1119,not_reported,not_reported,,,10.1021/acs.cgd.6b01533,ok,
10.1021/acs.cgd.6b01533,yes,"At ZrCl4/H2BDC = 1:2 with Cu2O (R=1.2), product was amorphous/low crystallinity (sample 3a).",UiO-66,,ZrCl4,ZrCl4,0.317 g (1.362 mmol),1.362,mmol,,,,,,,,,,,terephthalic acid,H2BDC,0.226 g (1.362 mmol),1.362,mmol,,,,,,,,,,,acetic acid,AcOH,2.5 mL,,,copper(I) iodide,CuI,R = 0.5 (Cu/ZrCl4),,,dimethylformamide,DMF,30 mL,30,,,,,120,120 °C,24,24 h,Teflon-lined autoclave (100 mL),ultrasonicated to dissolve; static during heating,"DMF, MeOH, H2O",several times,dried under vacuum at 60 °C overnight,60,,octahedra,,mean crystal size ~190 nm,,,,,,not_reported,not_reported,,,10.1021/acs.cgd.6b01533,ok,
10.1021/acs.cgd.6b01533,yes,"At ZrCl4/H2BDC = 1:2 with Cu2O (R=1.2), product was amorphous/low crystallinity (sample 3a).",UiO-66,,ZrCl4,ZrCl4,0.317 g (1.362 mmol),1.362,mmol,,,,,,,,,,,terephthalic acid,H2BDC,0.226 g (1.362 mmol),1.362,mmol,,,,,,,,,,,acetic acid,AcOH,2.5 mL,,,copper(I) iodide,CuI,R = 1.0 (Cu/ZrCl4),,,dimethylformamide,DMF,30 mL,30,,,,,120,120 °C,24,24 h,Teflon-lined autoclave (100 mL),ultrasonicated to dissolve; static during heating,"DMF, MeOH, H2O",several times,dried under vacuum at 60 °C overnight,60,,octahedra,,mean crystal size ~153 nm,,,,,,not_reported,not_reported,,,10.1021/acs.cgd.6b01533,ok,
10.1021/acs.cgd.6b01533,yes,"At ZrCl4/H2BDC = 1:2 with Cu2O (R=1.2), product was amorphous/low crystallinity (sample 3a).",UiO-66,,ZrCl4,ZrCl4,0.317 g (1.362 mmol),1.362,mmol,,,,,,,,,,,terephthalic acid,H2BDC,0.226 g (1.362 mmol),1.362,mmol,,,,,,,,,,,acetic acid,AcOH,2.5 mL,,,copper(I) iodide,CuI,R = 1.2 (Cu/ZrCl4),,,dimethylformamide,DMF,30 mL,30,,,,,120,120 °C,24,24 h,Teflon-lined autoclave (100 mL),ultrasonicated to dissolve; static during heating,"DMF, MeOH, H2O",several times,dried under vacuum at 60 °C overnight,60,,octahedra,,mean crystal size ~144 nm,,,,,,not_reported,not_reported,,,10.1021/acs.cgd.6b01533,ok,
10.1021/acs.cgd.6b01533,yes,"At ZrCl4/H2BDC = 1:2 with Cu2O (R=1.2), product was amorphous/low crystallinity (sample 3a).",UiO-66,,ZrCl4,ZrCl4,0.317 g (1.362 mmol),1.362,mmol,,,,,,,,,,,terephthalic acid,H2BDC,0.226 g (1.362 mmol),1.362,mmol,,,,,,,,,,,acetic acid,AcOH,2.5 mL,,,copper(I) iodide,CuI,R = 1.5 (Cu/ZrCl4),,,dimethylformamide,DMF,30 mL,30,,,,,120,120 °C,24,24 h,Teflon-lined autoclave (100 mL),ultrasonicated to dissolve; static during heating,"DMF, MeOH, H2O",several times,dried under vacuum at 60 °C overnight,60,,octahedra,,mean crystal size ~117 nm,,,,,,not_reported,not_reported,,,10.1021/acs.cgd.6b01533,ok,
10.1021/acs.cgd.6b01533,yes,"At ZrCl4/H2BDC = 1:2 with Cu2O (R=1.2), product was amorphous/low crystallinity (sample 3a).",UiO-66,,ZrCl4,ZrCl4,0.317 g (1.362 mmol),1.362,mmol,,,,,,,,,,,terephthalic acid,H2BDC,0.226 g (1.362 mmol),1.362,mmol,,,,,,,,,,,acetic acid,AcOH,2.5 mL,,,copper(I) bromide,CuBr,R = 0.5 (Cu/ZrCl4),,,dimethylformamide,DMF,30 mL,30,,,,,120,120 °C,24,24 h,Teflon-lined autoclave (100 mL),ultrasonicated to dissolve; static during heating,"DMF, MeOH, H2O",several times,dried under vacuum at 60 °C overnight,60,,octahedra,,mean crystal size ~224 nm,,,,,,not_reported,not_reported,,,10.1021/acs.cgd.6b01533,ok,
10.1021/acs.cgd.6b01533,yes,"At ZrCl4/H2BDC = 1:2 with Cu2O (R=1.2), product was amorphous/low crystallinity (sample 3a).",UiO-66,,ZrCl4,ZrCl4,0.317 g (1.362 mmol),1.362,mmol,,,,,,,,,,,terephthalic acid,H2BDC,0.226 g (1.362 mmol),1.362,mmol,,,,,,,,,,,acetic acid,AcOH,2.5 mL,,,copper(I) bromide,CuBr,R = 1.0 (Cu/ZrCl4),,,dimethylformamide,DMF,30 mL,30,,,,,120,120 °C,24,24 h,Teflon-lined autoclave (100 mL),ultrasonicated to dissolve; static during heating,"DMF, MeOH, H2O",several times,dried under vacuum at 60 °C overnight,60,,octahedra,,mean crystal size ~167 nm,,,,,,not_reported,not_reported,,,10.1021/acs.cgd.6b01533,ok,
10.1021/acs.cgd.6b01533,yes,"At ZrCl4/H2BDC = 1:2 with Cu2O (R=1.2), product was amorphous/low crystallinity (sample 3a).",UiO-66,,ZrCl4,ZrCl4,0.317 g (1.362 mmol),1.362,mmol,,,,,,,,,,,terephthalic acid,H2BDC,0.226 g (1.362 mmol),1.362,mmol,,,,,,,,,,,acetic acid,AcOH,2.5 mL,,,copper(I) bromide,CuBr,R = 1.2 (Cu/ZrCl4),,,dimethylformamide,DMF,30 mL,30,,,,,120,120 °C,24,24 h,Teflon-lined autoclave (100 mL),ultrasonicated to dissolve; static during heating,"DMF, MeOH, H2O",several times,dried under vacuum at 60 °C overnight,60,,octahedra,,mean crystal size ~150 nm,,,,,,not_reported,not_reported,,,10.1021/acs.cgd.6b01533,ok,
10.1021/acs.cgd.6b01533,yes,"At ZrCl4/H2BDC = 1:2 with Cu2O (R=1.2), product was amorphous/low crystallinity (sample 3a).",UiO-66,,ZrCl4,ZrCl4,0.317 g (1.362 mmol),1.362,mmol,,,,,,,,,,,terephthalic acid,H2BDC,0.226 g (1.362 mmol),1.362,mmol,,,,,,,,,,,acetic acid,AcOH,2.5 mL,,,copper(I) bromide,CuBr,R = 1.5 (Cu/ZrCl4),,,dimethylformamide,DMF,30 mL,30,,,,,120,120 °C,24,24 h,Teflon-lined autoclave (100 mL),ultrasonicated to dissolve; static during heating,"DMF, MeOH, H2O",several times,dried under vacuum at 60 °C overnight,60,,octahedra,,mean crystal size ~177 nm,,,,,,not_reported,not_reported,,,10.1021/acs.cgd.6b01533,ok,
10.1021/acs.cgd.6b01533,yes,"At ZrCl4/H2BDC = 1:2 with Cu2O (R=1.2), product was amorphous/low crystallinity (sample 3a).",UiO-66,,ZrCl4,ZrCl4,0.317 g (1.362 mmol),1.362,mmol,,,,,,,,,,,terephthalic acid,H2BDC,0.226 g (1.362 mmol),1.362,mmol,,,,,,,,,,,acetic acid,AcOH,2.5 mL,,,copper(II) chloride,CuCl2,R = 0.5 (Cu/ZrCl4),,,dimethylformamide,DMF,30 mL,30,,,,,120,120 °C,24,24 h,Teflon-lined autoclave (100 mL),ultrasonicated to dissolve; static during heating,"DMF, MeOH, H2O",several times,dried under vacuum at 60 °C overnight,60,,octahedra,,mean crystal size ~150 nm,,,,,,not_reported,not_reported,,,10.1021/acs.cgd.6b01533,ok,
10.1021/acs.cgd.6b01533,yes,"At ZrCl4/H2BDC = 1:2 with Cu2O (R=1.2), product was amorphous/low crystallinity (sample 3a).",UiO-66,,ZrCl4,ZrCl4,0.317 g (1.362 mmol),1.362,mmol,,,,,,,,,,,terephthalic acid,H2BDC,0.226 g (1.362 mmol),1.362,mmol,,,,,,,,,,,acetic acid,AcOH,2.5 mL,,,copper(II) chloride,CuCl2,R = 1.0 (Cu/ZrCl4),,,dimethylformamide,DMF,30 mL,30,,,,,120,120 °C,24,24 h,Teflon-lined autoclave (100 mL),ultrasonicated to dissolve; static during heating,"DMF, MeOH, H2O",several times,dried under vacuum at 60 °C overnight,60,,octahedra,,mean crystal size ~97 nm,,,,,,not_reported,not_reported,,,10.1021/acs.cgd.6b01533,ok,
10.1021/acs.cgd.6b01533,yes,"At ZrCl4/H2BDC = 1:2 with Cu2O (R=1.2), product was amorphous/low crystallinity (sample 3a).",UiO-66,,ZrCl4,ZrCl4,0.317 g (1.362 mmol),1.362,mmol,,,,,,,,,,,terephthalic acid,H2BDC,0.226 g (1.362 mmol),1.362,mmol,,,,,,,,,,,acetic acid,AcOH,2.5 mL,,,copper(II) chloride,CuCl2,R = 1.2 (Cu/ZrCl4),,,dimethylformamide,DMF,30 mL,30,,,,,120,120 °C,24,24 h,Teflon-lined autoclave (100 mL),ultrasonicated to dissolve; static during heating,"DMF, MeOH, H2O",several times,dried under vacuum at 60 °C overnight,60,,octahedra,,mean crystal size ~100 nm,,,,,,not_reported,not_reported,,,10.1021/acs.cgd.6b01533,ok,
10.1021/acs.cgd.6b01533,yes,"At ZrCl4/H2BDC = 1:2 with Cu2O (R=1.2), product was amorphous/low crystallinity (sample 3a).",UiO-66,,ZrCl4,ZrCl4,0.317 g (1.362 mmol),1.362,mmol,,,,,,,,,,,terephthalic acid,H2BDC,0.226 g (1.362 mmol),1.362,mmol,,,,,,,,,,,acetic acid,AcOH,2.5 mL,,,copper(II) chloride,CuCl2,R = 1.5 (Cu/ZrCl4),,,dimethylformamide,DMF,30 mL,30,,,,,120,120 °C,24,24 h,Teflon-lined autoclave (100 mL),ultrasonicated to dissolve; static during heating,"DMF, MeOH, H2O",several times,dried under vacuum at 60 °C overnight,60,,octahedra,,mean crystal size ~102 nm,,,,,,not_reported,not_reported,,,10.1021/acs.cgd.6b01533,ok,
10.1021/acs.cgd.6b01533,yes,"At ZrCl4/H2BDC = 1:2 with Cu2O (R=1.2), product was amorphous/low crystallinity (sample 3a).",UiO-66,,ZrCl4,ZrCl4,2.724 mmol,2.724,mmol,,,,,,,,,,,terephthalic acid,H2BDC,1.362 mmol,1.362,mmol,,,,,,,,,,,acetic acid,AcOH,2.5 mL,,,cuprous oxide,Cu2O,0.817 mmol (R = 1.2),0.817,mmol,dimethylformamide,DMF,30 mL,30,,,,,120,120 °C,24,24 h,Teflon-lined autoclave (100 mL),ultrasonicated to dissolve; static during heating,"DMF, MeOH, H2O",several times,dried under vacuum at 60 °C overnight,60,,octahedra,,mean crystal size ~105 nm,,,,,,not_reported,not_reported,,,10.1021/acs.cgd.6b01533,ok,
10.1016/j.cattod.2006.09.003,yes,Solvothermal reactions gave amorphous/microcrystalline solids; only TEA vapor diffusion at RT yielded crystals.,,,FeCl2·4H2O,,"0.15 g, 0.38 mmol",0.38,mmol,,,,,,,,,,,"2,3,5,6-tetrafluorobenzene-1,4-dicarboxylic acid",F4BDC,"0.03 g, 0.13 mmol",0.13,mmol,,,,,,,,,,,triethylamine,TEA,vapor diffusion,,,,,,,,dimethylformamide,DMF,1.0 mL,1,water,H2O,0.50 mL,0.5,25,room temperature,,,vapor diffusion setup (sealed vial),static,"DMF, hexanes, chloroform","DMF 3×, hexanes 3×; chloroform 3× then 10 h immersion",50 °C under vacuum for 6 h,50,6,brown rod-shaped crystals,64,0.38 × 0.10 × 0.10 mm,acs,Fe3O(O2C)6 trigonal prismatic SBU,"a=b=15.790(2) Å, c=16.050(2) Å, P63/mmc",14,,not_reported,no,250,hydrogen storage,10.1016/j.cattod.2006.09.003,ok,
10.1002/ejic.201000402,yes,No product formed if pH < 5 or > 6.5 for these syntheses.,,,CoCl2·6H2O,,"0.24 g, 1.0 mmol",1,mmol,,,,,,,,,,,"pyridine-3,5-dicarboxylate","3,5-pdc","0.17 g, 1.0 mmol",1,mmol,"1,1'-(1,4-butanediyl)bis(imidazole)",L2,"0.19 g, 1.0 mmol",1,mmol,,,,,,sodium hydroxide,NaOH,"0.08 g, 2.0 mmol",2,mmol,,,,,,water,H2O,7 mL,7,,,,,160,160 °C,72,3 d,Teflon-lined stainless steel vessel (autoclave),static,,,,,,purple crystals,56,,,,"a=9.4191(19) Å, b=12.478(3) Å, c=17.794(5) Å, β=115.00(2)°, P21/c",,,yes,not_reported,340,,10.1002/ejic.201000402,ok,
