doi,mof_name,metal_1,metal_1_amount_value,metal_1_amount_unit,linker_1,linker_1_amount_value,linker_1_amount_unit,solvent_main,solvent_main_ml,temperature_c,time_h,time_text
10.1021/acs.cgd.6b01533,UiO-66,zirconium tetrachloride,1.362,mmol,terephthalic acid,1.362,mmol,"N,N-dimethylformamide",30,120,24,24 h
10.1021/acs.cgd.6b01533,UiO-66,zirconium tetrachloride,1.362,mmol,terephthalic acid,1.362,mmol,"N,N-dimethylformamide",30,120,24,24 h
10.1021/acs.cgd.6b01533,UiO-66,zirconium tetrachloride,1.362,mmol,terephthalic acid,1.362,mmol,"N,N-dimethylformamide",30,120,24,24 h
10.1021/acs.cgd.6b01533,UiO-66,zirconium tetrachloride,1.362,mmol,terephthalic acid,1.362,mmol,"N,N-dimethylformamide",30,120,24,24 h
10.1021/acs.cgd.6b01533,UiO-66,zirconium tetrachloride,1.362,mmol,terephthalic acid,1.362,mmol,"N,N-dimethylformamide",30,120,24,24 h
10.1021/acs.cgd.6b01533,UiO-66,zirconium tetrachloride,1.362,mmol,terephthalic acid,1.362,mmol,"N,N-dimethylformamide",30,120,24,24 h
10.1021/acs.cgd.6b01533,UiO-66,zirconium tetrachloride,1.362,mmol,terephthalic acid,1.362,mmol,"N,N-dimethylformamide",30,120,24,24 h
10.1021/acs.cgd.6b01533,UiO-66,zirconium tetrachloride,1.362,mmol,terephthalic acid,1.362,mmol,"N,N-dimethylformamide",30,120,24,24 h
10.1021/acs.cgd.6b01533,UiO-66,zirconium tetrachloride,1.362,mmol,terephthalic acid,1.362,mmol,"N,N-dimethylformamide",30,120,24,24 h
10.1021/acs.cgd.6b01533,UiO-66,zirconium tetrachloride,1.362,mmol,terephthalic acid,1.362,mmol,"N,N-dimethylformamide",30,120,24,24 h
10.1021/acs.cgd.6b01533,UiO-66,zirconium tetrachloride,1.362,mmol,terephthalic acid,1.362,mmol,"N,N-dimethylformamide",30,120,24,24 h
10.1021/acs.cgd.6b01533,UiO-66,zirconium tetrachloride,1.362,mmol,terephthalic acid,1.362,mmol,"N,N-dimethylformamide",30,120,24,24 h
10.1021/acs.cgd.6b01533,UiO-66,zirconium tetrachloride,2.724,mmol,terephthalic acid,1.362,mmol,"N,N-dimethylformamide",30,120,24,24 h
10.1016/j.cattod.2006.09.003,,iron(II) chloride tetrahydrate,0.38,mmol,"2,3,5,6-tetrafluorobenzene-1,4-dicarboxylic acid",0.13,mmol,"N,N-dimethylformamide",1,,,
10.1002/ejic.201000402,,nickel(II) chloride hexahydrate,1,mmol,"pyridine-3,5-dicarboxylate",1,mmol,water,7,160,72,3 d
10.1002/ejic.201000402,,cobalt(II) chloride hexahydrate,1,mmol,"pyridine-3,5-dicarboxylate",1,mmol,water,7,160,72,3 d
10.1002/ejic.201000402,,cobalt(II) chloride hexahydrate,,,"pyridine-3,5-dicarboxylate",,,water,7,160,72,3 d
10.1002/chem.200801856,MIL-110,aluminium nitrate nonahydrate,1.77,mmol,"trimethyl 1,3,5-benzenetricarboxylate",1.19,mmol,water,5,210,72,72 h
10.1002/chem.200801856,MIL-110,aluminium nitrate nonahydrate,0.874,mmol,"trimethyl 1,3,5-benzenetricarboxylate",0.436,mmol,water,5,210,3,3 h
10.1002/chem.201901939,NH2-MIL-88B(Fe),iron(III) chloride hexahydrate,2,mmol,2-aminoterephthalic acid,1,mmol,"N,N-dimethylformamide",15,120,24,24 h
10.1002/chem.201901939,NH2-MIL-88B(Fe/Co),iron(III) chloride hexahydrate,1,mmol,2-aminoterephthalic acid,1,mmol,"N,N-dimethylformamide",15,120,24,24 h
10.1002/chem.201901939,NH2-MIL-88B/MIL-101 (Fe/Co) mixed phase,iron(III) chloride hexahydrate,0.5,mmol,2-aminoterephthalic acid,1,mmol,"N,N-dimethylformamide",15,120,24,24 h
10.1002/chem.201901939,NH2-MIL-88B(Fe/Co),iron(III) chloride hexahydrate,0.2,mmol,2-aminoterephthalic acid,1,mmol,"N,N-dimethylformamide",15,120,24,24 h
10.1002/chem.201901939,Co-MOF (NH2-BDC-Co),cobalt(II) chloride hexahydrate,2,mmol,2-aminoterephthalic acid,1,mmol,"N,N-dimethylformamide",15,120,24,24 h
10.1039/c3ce41095a,,copper(II) nitrate trihydrate,0.12,mmol,5-(bis(4-carboxybenzyl)amino)isophthalic acid monohydrate,0.02,mmol,"N,N-dimethylformamide",2,75,36,36 h
10.1039/c3ce41095a,,copper(II) nitrate trihydrate,0.12,mmol,5-(bis(4-carboxybenzyl)amino)isophthalic acid monohydrate,0.02,mmol,"N,N-dimethylformamide",1,75,60,"30 h, add HBF4, then 30 h more (total 60 h)"
10.1021/acs.inorgchem.0c02674,UiO-(OH)2,zirconyl chloride octahydrate,174.015,mg,"2,5-dihydroxyterephthalic acid",146.6,mg,"N,N-dimethylformamide",15,80,,overnight
10.1021/acs.inorgchem.0c02674,UiO-66,zirconium(IV) chloride,,,terephthalic acid,,,"N,N-dimethylformamide",,120,24,24 h
10.1021/acs.cgd.1c00385,[Co2(dip)2(obb)2]·2H2O (1),cobalt(II) nitrate hexahydrate,0.5,mmol,"2,6-di(1H-imidazol-1-yl)pyridine (dip)",0.5,mmol,water,10,140,72,"heated to 140 °C over 12 h, maintained 72 h; cooled to 40 °C over 24 h"
10.1021/acs.cgd.1c00385,[Co2(dip)2(btec)(H2O)]·3H2O (2),cobalt(II) nitrate hexahydrate,0.5,mmol,"2,6-di(1H-imidazol-1-yl)pyridine (dip)",0.5,mmol,water,10,140,72,"heated to 140 °C over 12 h, maintained 72 h; cooled to 40 °C over 24 h"
10.1021/acs.inorgchem.3c04060,UCY-16,Cu(NO3)2·2.5H2O,0.34,mmol,5-aminoisophthalic acid,0.55,mmol,"N,N-dimethylformamide",8,100,,∼4 to 6 h
10.1039/c2dt11966h,,MnCl2·4H2O,0.2,mmol,1-(carboxylatomethyl)-3-(5-tetrazolato)pyridinium,0.1,mmol,water,2,,48,2 days (slow evaporation after 10 min stirring)
10.1039/c2dt11966h,,MnCl2·4H2O,,,1-(carboxylatoethyl)-4-(5-tetrazolato)pyridinium,,,water,,,48,2 days (slow evaporation after ~10 min stirring; procedure similar to 1)
10.1039/c7dt01116d,,cuprous iodide,0.2,mmol,"(R,R)-N,N′-bis(3-tert-butyl-5-(4-pyridyl)salicylidene)-1,2-diphenylethylenediamine nickel(II)",0.02,mmol,"N,N-dimethylformamide",3,100,72,three days
10.1021/cg201059d,PCN-131,Zn(NO3)2·6H2O,0.2,mmol,"anthracene-9,10-dicarboxylic acid",0.1,mmol,"N,N-dimethylformamide",,120,168,1 week
10.1021/cg201059d,PCN-132,Zn(NO3)2·6H2O,0.2,mmol,"anthracene-9,10-dicarboxylic acid",0.1,mmol,"N,N-dimethylacetamide",,60,72,3 days
10.1021/cg201059d,PCN-1310,Zn(NO3)2·6H2O,0.2,mmol,"anthracene-9,10-dicarboxylic acid",0.1,mmol,"N,N-dimethylformamide",,120,48,2 days
10.1021/cg201059d,PCN-1320,Zn(NO3)2·6H2O,0.2,mmol,"anthracene-9,10-dicarboxylic acid",0.1,mmol,"N,N-dimethylformamide",,120,48,2 days
10.1016/j.micromeso.2015.07.001,,copper(II) nitrate dihydrate-hemihydrate,0.07,mmol,"5,5′-(1,3-phenylenebis(methylene))bis(oxy)diisophthalic acid",0.035,mmol,"N,N-dimethylformamide",8,85,96,4 days
10.1016/j.micromeso.2015.07.001,,copper(II) nitrate dihydrate-hemihydrate,0.1,mmol,"5,5′-(1,3-phenylenebis(methylene))bis(oxy)diisophthalic acid",0.05,mmol,water,6,85,96,4 days
10.1016/j.ica.2004.07.029,,MoO3,1.119,mmol,tetra-2-pyridylpyrazine,0.221,mmol,water,,170,48,48 h
10.1016/j.ica.2004.07.029,,MoO3,1.112,mmol,tetra-2-pyridylpyrazine,0.221,mmol,water,,170,48,48 h
10.1016/j.ica.2004.07.029,,(NH4)6Mo7O24·4H2O,0.081,mmol,tetra-2-pyridylpyrazine,0.111,mmol,water,,200,48,48 h
10.1039/d1mh01663f,MOF-235(Fe),iron(III) chloride hexahydrate,1,mmol,terephthalic acid,1,mmol,"N,N-dimethylformamide",10,120,24,24 h
10.1039/d1mh01663f,MIL-53(Fe),iron(II) chloride tetrahydrate,1,mmol,terephthalic acid,1,mmol,"N,N-dimethylformamide",10,150,72,3 days
10.1039/d1mh01663f,[Fe(DMF)(BDC)],iron(II) tetrafluoroborate hexahydrate,1,mmol,terephthalic acid,1,mmol,"N,N-dimethylformamide",10,150,72,3 days
10.1039/d1mh01663f,,iron(II) tetrafluoroborate hexahydrate,1,mmol,terephthalic acid,1,mmol,"N,N-dimethylformamide",10,120,24,24 h
10.1039/d1mh01663f,MIL-88B(Fe),iron(II) sulfate heptahydrate,0.05,mmol,terephthalic acid,0.05,mmol,"N,N-dimethylformamide",4,120,24,24 h
10.1039/d1mh01663f,Fe–BDC-Br,iron(II) sulfate heptahydrate,0.05,mmol,2-bromoterephthalic acid,0.05,mmol,"N,N-dimethylformamide",4,120,24,24 h
10.1016/j.ica.2012.01.011,,copper(II) acetate,0.38,mmol,"1,4-butylenediphosphonic acid",0.35,mmol,water,10,100,48,48 h
10.1016/j.ica.2012.01.011,,copper(II) acetate,0.38,mmol,"1,4-butylenediphosphonic acid",0.275,mmol,water,10,100,48,48 h
10.1039/b713705b,,Cu2(MeCOO)4·2H2O (copper(II) acetate dimer dihydrate),0.095,mmol,hexacarboxylic polychlorotriphenylmethyl radical (PTMHC),0.063,mmol,water,10,,1080,slow diffusion over 45 days
10.1039/b713705b,,Cu2(MeCOO)4·2H2O (copper(II) acetate dimer dihydrate),0.095,mmol,aH-PTMHC (hydrogenated PTMHC hexacarboxylate ligand),0.063,mmol,water,10,,480,slow diffusion over 20 days
10.1039/c6nj00822d,,La(CH3SO3)3,8,mmol,2-nitroterephthalic acid,0.5,mmol,water,,180,72,3 days
10.1039/c6nj00822d,,Nd(CH3SO3)3,4,mmol,2-nitroterephthalic acid,0.5,mmol,water,,180,72,3 days
10.1039/c6nj00822d,,Sm(CH3SO3)3,4,mmol,2-nitroterephthalic acid,0.5,mmol,water,,180,72,3 days
10.1039/c6nj00822d,,Eu(CH3SO3)3,4,mmol,2-nitroterephthalic acid,0.5,mmol,water,,180,72,3 days
10.1039/c6nj00822d,,Gd(CH3SO3)3,4,mmol,2-nitroterephthalic acid,0.5,mmol,water,,180,72,3 days
10.1039/c6nj00822d,,Tb(CH3SO3)3,4,mmol,2-nitroterephthalic acid,0.5,mmol,water,,180,72,3 days
10.1039/c6nj00822d,,Er(CH3SO3)3,4,mmol,2-nitroterephthalic acid,0.5,mmol,water,,180,72,3 days
10.1021/ic000209d,[Er(C9H9O6)(H2O)2]·2.5H2O,Er(NO3)3·5H2O,0.8,mmol,"cis,cis-1,3,5-cyclohexanetricarboxylic acid",1,mmol,deionized water,15,170,24,24 h
10.1021/ja905690t,[Ca(L-Tar)(H2O)2]·2H2O,calcium acetate hydrate,1,mmol,L-tartaric acid,1,mmol,deionized water,10,,,immediate precipitation
10.1021/ja905690t,[Ca(L-Tar)],calcium acetate hydrate,1,mmol,L-tartaric acid,1,mmol,deionized water,10,125,48,48 h
10.1021/ja905690t,"[Ca(D,L-Tar)(H2O)4]",calcium acetate hydrate,1,mmol,"D,L-tartaric acid",1,mmol,deionized water,10,60,48,48 h
10.1021/ja905690t,"[Ca(D,L-Tar)]2·H2O",calcium acetate hydrate,1,mmol,"D,L-tartaric acid",1,mmol,deionized water,10,200,48,48 h
10.1021/ja905690t,[Ca(meso-Tar)(H2O)2]·H2O,calcium acetate hydrate,1,mmol,meso-tartaric acid hydrate,1,mmol,deionized water,10,,,immediate precipitation
10.1021/ja905690t,[Ca(meso-Tar)]·2H2O,calcium acetate hydrate,1,mmol,meso-tartaric acid hydrate,1,mmol,deionized water,10,100,48,48 h
10.1021/ja905690t,[Ca(meso-Tar)],calcium acetate hydrate,1,mmol,meso-tartaric acid hydrate,1,mmol,deionized water,10,150,48,48 h
10.1021/ja905690t,[Sr(L-Tar)(H2O)2]·2H2O,strontium acetate,1,mmol,L-tartaric acid,1,mmol,deionized water,10,,144,6 days
10.1021/ja905690t,[Sr(L-Tar)(H2O)3],strontium acetate,1,mmol,L-tartaric acid,1,mmol,deionized water,10,60,48,48 h (closed vial)
10.1021/ja905690t,[Sr(L-Tar)(H2O)],strontium acetate,1,mmol,L-tartaric acid,1,mmol,deionized water,10,60,48,48 h
10.1021/ja905690t,[Sr(L-Tar)],strontium acetate,1,mmol,L-tartaric acid,1,mmol,deionized water,10,150,48,48 h
10.1021/ja905690t,"[Sr(D,L-Tar)(H2O)4]",strontium acetate,1,mmol,"D,L-tartaric acid",1,mmol,deionized water,10,100,48,48 h
10.1021/ja905690t,[Sr(meso-Tar)],strontium acetate,1,mmol,meso-tartaric acid hydrate,1,mmol,deionized water,10,125,48,48 h
10.1021/ja905690t,[Ba(L-Tar)],barium acetate,1,mmol,L-tartaric acid,1,mmol,deionized water,10,,,12–24 h (stirred)
10.1021/ja905690t,"[Ba2(D,L-Tar)2(H2O)5]",barium acetate,0.25,mmol,"D,L-tartaric acid",0.25,mmol,deionized water,20,,,1–2 days (evaporation)
10.1021/ja905690t,"[Ba(D,L-Tar)(H2O)2]",barium acetate,0.25,mmol,"D,L-tartaric acid",0.25,mmol,deionized water,20,,,1–2 days (evaporation)
10.1021/ja905690t,"[Ba(D,L-Tar)]",barium acetate,1,mmol,"D,L-tartaric acid",1,mmol,deionized water,10,60,48,48 h
10.1021/ja905690t,[Ba(meso-Tar)(H2O)],barium acetate,1,mmol,meso-tartaric acid hydrate,1,mmol,deionized water,10,100,48,48 h
10.1002/ejic.201301010,[Y2(bpdc)3(H2O)4],yttrium nitrate hexahydrate,0.12,mmol,"2,2'-bipyridine-5,5'-dicarboxylate",0.18,mmol,"N,N-dimethylformamide",6,120,72,72 h
10.1002/ejic.201301010,[Sm2(bpdc)3(H2O)4],samarium nitrate hydrate,,,"2,2'-bipyridine-5,5'-dicarboxylate",,,"N,N-dimethylformamide",6,120,72,72 h
10.1002/ejic.201301010,[Eu2(bpdc)3(H2O)4],europium nitrate hydrate,,,"2,2'-bipyridine-5,5'-dicarboxylate",,,"N,N-dimethylformamide",6,120,72,72 h
10.1002/ejic.201301010,[Gd2(bpdc)3(H2O)4],gadolinium nitrate hydrate,,,"2,2'-bipyridine-5,5'-dicarboxylate",,,"N,N-dimethylformamide",6,120,72,72 h
10.1002/ejic.201301010,[Tb2(bpdc)3(H2O)4],terbium nitrate hydrate,,,"2,2'-bipyridine-5,5'-dicarboxylate",,,"N,N-dimethylformamide",6,120,72,72 h
10.1002/ejic.201301010,[Dy2(bpdc)3(H2O)4],dysprosium nitrate hydrate,,,"2,2'-bipyridine-5,5'-dicarboxylate",,,"N,N-dimethylformamide",6,120,72,72 h
10.1002/ejic.201301010,[Er2(bpdc)3(H2O)4],erbium nitrate hydrate,,,"2,2'-bipyridine-5,5'-dicarboxylate",,,"N,N-dimethylformamide",6,120,72,72 h
10.1002/ejic.201301010,[Yb2(bpdc)3(H2O)4],ytterbium nitrate hexahydrate,,,"2,2'-bipyridine-5,5'-dicarboxylate",,,"N,N-dimethylformamide",6,120,72,72 h
10.1002/anie.202000299,DIA-1,zinc nitrate hexahydrate,0.143,g,pyrimidin-2-ol,0.138,g,water,7.2,,0.5,30 min
10.1002/anie.202000299,ZPF-1,zinc nitrate hexahydrate,0.48,mmol,pyrimidin-2-ol,1.44,mmol,water,7.2,,0.5,30 min
10.1002/anie.202000299,ZPF-1,zinc nitrate hexahydrate,0.48,mmol,pyrimidin-2-ol,1.44,mmol,water,7.2,,0.5,30 min
10.1002/anie.202000299,ZPF-1,zinc nitrate hexahydrate,0.48,mmol,pyrimidin-2-ol,1.44,mmol,water,7.2,,0.5,30 min
10.1002/anie.202000299,ZPF-1,zinc nitrate hexahydrate,0.143,g,pyrimidin-2-ol,0.138,g,water,7.2,,0.5,30 min
10.1002/anie.202000299,ZPF-1,zinc nitrate hexahydrate,,,pyrimidin-2-ol,,,water,,,168,7 days
10.1002/cctc.201402546,Zr-NDC,zirconium tetrachloride,1.7,mmol,"naphthalene-2,6-dicarboxylic acid",1.7,mmol,"N,N-dimethylformamide",,120,24,24 h
10.1002/cctc.201402546,Zr-NDC-NH2(20),zirconium tetrachloride,1.7,mmol,"naphthalene-2,6-dicarboxylic acid",1.36,mmol,"N,N-dimethylformamide",,120,24,24 h
10.1002/cctc.201402546,Zr-NDC-NH2(35),zirconium tetrachloride,1.7,mmol,"naphthalene-2,6-dicarboxylic acid",1.105,mmol,"N,N-dimethylformamide",,120,24,24 h
10.1039/c3dt53167h,,Al2(SO4)3·18H2O,0.125,mmol,"(2,4,6-trimethylbenzene-1,3,5-triyl)tris(methylene)triphosphonic acid",0.2,mmol,ethanol,9,140,72,3 days
10.1021/cg401825f,,lanthanum(III) nitrate hydrate,0.5,mmol,"1,4-naphthalenedicarboxylic acid",0.5,mmol,water,10,120,72,3 days
10.1021/cg401825f,,praseodymium(III) nitrate hydrate,0.5,mmol,"1,4-naphthalenedicarboxylic acid",0.5,mmol,water,10,120,72,3 days
10.1021/cg401825f,,samarium(III) nitrate hydrate,0.5,mmol,"1,4-naphthalenedicarboxylic acid",0.5,mmol,water,10,120,72,3 days
10.1021/cg401825f,,europium(III) nitrate hydrate,0.5,mmol,"1,4-naphthalenedicarboxylic acid",0.5,mmol,water,10,120,72,3 days
10.1021/cg401825f,,gadolinium(III) nitrate hydrate,0.5,mmol,"1,4-naphthalenedicarboxylic acid",0.5,mmol,water,10,120,72,3 days
10.1021/cg401825f,,terbium(III) nitrate hydrate,0.5,mmol,"1,4-naphthalenedicarboxylic acid",0.5,mmol,water,10,120,72,3 days
10.1021/cg401825f,,dysprosium(III) nitrate hydrate,0.5,mmol,"1,4-naphthalenedicarboxylic acid",0.5,mmol,water,10,120,72,3 days
10.1021/cg401825f,,erbium(III) nitrate hydrate,0.5,mmol,"1,4-naphthalenedicarboxylic acid",0.5,mmol,water,10,120,72,3 days
10.1039/c2ce25081k,,Cu(ClO4)2·6H2O,0.2,mmol,"2-p-methoxyphenyl-1H-imidazole-4,5-dicarboxylic acid",0.1,mmol,water,,150,96,96 h
10.1039/c2ce25081k,,Zn(OAc)2·2H2O,0.1,mmol,"2-p-methoxyphenyl-1H-imidazole-4,5-dicarboxylic acid",0.1,mmol,ethanol,,160,72,72 h
10.1039/c2ce25081k,,Co(NO3)2·6H2O,0.2,mmol,"2-p-methoxyphenyl-1H-imidazole-4,5-dicarboxylic acid",0.2,mmol,ethanol,,160,72,72 h
10.1039/c2ce25081k,,Co(NO3)2·6H2O,0.2,mmol,"2-p-methoxyphenyl-1H-imidazole-4,5-dicarboxylic acid",0.2,mmol,ethanol,,160,72,72 h
10.1039/c2ce25081k,,CdCl2·2H2O,0.2,mmol,"2-p-methoxyphenyl-1H-imidazole-4,5-dicarboxylic acid",0.2,mmol,water,7,165,96,96 h
10.1039/c2ce25081k,,CoCl2·6H2O,0.1,mmol,"2-p-methoxyphenyl-1H-imidazole-4,5-dicarboxylic acid",0.1,mmol,water,7,160,72,72 h
10.1021/acs.inorgchem.9b01408,Hf-HHU-1,hafnium oxychloride octahydrate,1,mmol,acetylenedicarboxylic acid,1,mmol,"N,N-dimethylformamide",2.5,85,2,2 h
10.1021/acs.inorgchem.9b01408,Hf-HHU-2,hafnium(IV) chloride,1,mmol,acetylenedicarboxylic acid (in situ converted to 2-chlorofumarate),3,mmol,water,2.5,85,6,6 h
10.1021/acs.inorgchem.9b01408,Hf-HHU-2 (defect nanodomains),hafnium(IV) chloride,1,mmol,acetylenedicarboxylic acid (in situ converted to 2-chlorofumarate),1,mmol,water,2.5,85,6,6 h
10.1021/ic500234r,,zinc nitrate hexahydrate,0.1,mmol,"4,4′-biphenyldicarboxylic acid",0.1,mmol,"N,N-dimethylformamide",,80,72,3 days
10.1021/ic500234r,,zinc nitrate hexahydrate,0.1,mmol,"4,4′-biphenyldicarboxylic acid",0.1,mmol,"N,N-diethylformamide",,120,72,3 days
10.1021/ic500234r,MOF1N,zinc acetate dihydrate,0.1,mmol,"4,4′-biphenyldicarboxylic acid",0.1,mmol,"N,N-dimethylformamide",,80,72,3 days
10.1002/ejic.201500133,ZrIV muconate,ZrCl4,0.43,mmol,"trans,trans-muconic acid",0.43,mmol,"N,N-dimethylformamide",3,150,24,24 h
10.1002/ejic.201500133,ZrIV muconate,ZrCl4,0.43,mmol,"trans,trans-muconic acid",0.43,mmol,"N,N-dimethylformamide",3,150,24,24 h
10.1039/c7dt01084b,UiO-66,zirconium(IV) chloride,462,mg,terephthalic acid,330,mg,"N,N-dimethylformamide",34,120,24,24 h
10.1039/c7dt01084b,UiO-66-PYDC,zirconium(IV) chloride,0.233,g,"2,5-pyridinedicarboxylic acid",0.168,g,water,8,100,24,24 h
10.1039/c7dt01084b,UiO-66-PYDC,zirconium(IV) chloride,0.233,g,"2,5-pyridinedicarboxylic acid",0.168,g,water,6,100,24,24 h
10.1039/c7dt01084b,UiO-66-PYDC,zirconium(IV) chloride,0.233,g,"2,5-pyridinedicarboxylic acid",0.168,g,water,4,100,24,24 h
10.1039/c7dt01084b,UiO-66-PYDC,zirconium(IV) chloride,0.233,g,"2,5-pyridinedicarboxylic acid",0.168,g,water,2,100,24,24 h
10.1039/c7dt01084b,UiO-66-PYDC,zirconium(IV) chloride,0.233,g,"2,5-pyridinedicarboxylic acid",0.168,g,acetic acid,10,100,24,24 h
10.1021/acs.cgd.9b00611,YCM-31,indium(III) chloride,1.32,mmol,"4,4′,4″-benzene-1,3,5-triyl-tribenzoic acid",0.62,mmol,"N,N-dimethylformamide",18,120,24,24 h
10.1021/acs.cgd.9b00611,YCM-32,indium(III) chloride,1.32,mmol,"4,4′,4″-benzene-1,3,5-triyl-tribenzoic acid",0.62,mmol,"N,N-dimethylformamide",18,120,24,24 h
10.1021/acs.cgd.9b00611,YCM-32,indium(III) chloride,1.32,mmol,"4,4′,4″-benzene-1,3,5-triyl-tribenzoic acid",0.62,mmol,"N,N-dimethylformamide",18,120,24,24 h
10.1021/acs.cgd.9b00611,YCM-32,indium(III) chloride,1.32,mmol,"4,4′,4″-benzene-1,3,5-triyl-tribenzoic acid",0.62,mmol,"N,N-dimethylformamide",18,120,24,24 h
10.1002/chem.202402363,Y-CU-45,yttrium(III) nitrate hydrate,0.31,mmol,"1,3,5-benzenetricarboxylic acid",0.065,mmol,"N,N-dimethylformamide",1.5,130,120,120 h (5 days)
