source_row_id,doi_norm,publication_year,condition_key,cluster_key,is_success,is_forced_condition,is_forced_representative,split
10,10.1021/acs.cgd.6b01533,2017,"{""M_L_ratio"": 1.0, ""metal_concentration_mM"": 45.0, ""metal_precursor"": ""zrcl4"", ""modulator"": ""acetic acid and cuprous oxide"", ""organic_linker"": ""terephthalic acid"", ""solvent"": ""dimethylformamide"", ""temperature_C"": 120.0, ""time_h"": 24.0}",metal=zrcl4|linker=terephthalic acid|solvent=dimethylformamide,True,False,False,train
15,10.1021/acs.cgd.6b01533,2017,"{""M_L_ratio"": 1.0, ""metal_concentration_mM"": 45.0, ""metal_precursor"": ""zrcl4"", ""modulator"": ""acetic acid and copper(i) chloride"", ""organic_linker"": ""terephthalic acid"", ""solvent"": ""dimethylformamide"", ""temperature_C"": 120.0, ""time_h"": 24.0}",metal=zrcl4|linker=terephthalic acid|solvent=dimethylformamide,True,False,False,train
19,10.1021/acs.cgd.6b01533,2017,"{""M_L_ratio"": 1.0, ""metal_concentration_mM"": 45.0, ""metal_precursor"": ""zrcl4"", ""modulator"": ""acetic acid and copper(i) iodide"", ""organic_linker"": ""terephthalic acid"", ""solvent"": ""dimethylformamide"", ""temperature_C"": 120.0, ""time_h"": 24.0}",metal=zrcl4|linker=terephthalic acid|solvent=dimethylformamide,True,False,False,train
23,10.1021/acs.cgd.6b01533,2017,"{""M_L_ratio"": 1.0, ""metal_concentration_mM"": 45.0, ""metal_precursor"": ""zrcl4"", ""modulator"": ""acetic acid and copper(i) bromide"", ""organic_linker"": ""terephthalic acid"", ""solvent"": ""dimethylformamide"", ""temperature_C"": 120.0, ""time_h"": 24.0}",metal=zrcl4|linker=terephthalic acid|solvent=dimethylformamide,True,False,False,train
27,10.1021/acs.cgd.6b01533,2017,"{""M_L_ratio"": 1.0, ""metal_concentration_mM"": 45.0, ""metal_precursor"": ""zrcl4"", ""modulator"": ""acetic acid and copper(ii) chloride"", ""organic_linker"": ""terephthalic acid"", ""solvent"": ""dimethylformamide"", ""temperature_C"": 120.0, ""time_h"": 24.0}",metal=zrcl4|linker=terephthalic acid|solvent=dimethylformamide,True,False,False,train
31,10.1021/acs.cgd.6b01533,2017,"{""M_L_ratio"": 2.0, ""metal_concentration_mM"": 91.0, ""metal_precursor"": ""zrcl4"", ""modulator"": ""acetic acid and cuprous oxide"", ""organic_linker"": ""terephthalic acid"", ""solvent"": ""dimethylformamide"", ""temperature_C"": 120.0, ""time_h"": 24.0}",metal=zrcl4|linker=terephthalic acid|solvent=dimethylformamide,True,False,False,train
32,10.1016/j.cattod.2006.09.003,2007,"{""M_L_ratio"": 2.92, ""metal_concentration_mM"": 380.0, ""metal_precursor"": ""fecl2.4h2o"", ""modulator"": ""triethylamine"", ""organic_linker"": ""2,3,5,6-tetrafluorobenzene-1,4-dicarboxylic acid"", ""solvent"": ""dimethylformamide and water"", ""temperature_C"": 25.0, ""time_h"": null}","metal=fecl2.4h2o|linker=2,3,5,6-tetrafluorobenzene-1,4-dicarboxylic acid|solvent=dimethylformamide + water",True,False,False,train
33,10.1002/ejic.201000402,2010,"{""M_L_ratio"": 1.0, ""metal_concentration_mM"": 143.0, ""metal_precursor"": ""cocl2.6h2o"", ""modulator"": ""sodium hydroxide"", ""organic_linker"": ""pyridine-3,5-dicarboxylate and 1,1'-(1,4-butanediyl)bis(imidazole)"", ""solvent"": ""water"", ""temperature_C"": 160.0, ""time_h"": 72.0}","metal=cocl2.6h2o|linker=1,1'-(1,4-butanediyl)bis(imidazole) + pyridine-3,5-dicarboxylate|solvent=water",True,False,False,train
34,10.1002/chem.200801856,2009,"{""M_L_ratio"": 1.49, ""metal_concentration_mM"": 354.0, ""metal_precursor"": ""al(no3)3.9h2o"", ""modulator"": ""nitric acid"", ""organic_linker"": ""trimethyl 1,3,5-benzenetricarboxylate"", ""solvent"": ""water"", ""temperature_C"": 210.0, ""time_h"": 72.0}","metal=al(no3)3.9h2o|linker=trimethyl 1,3,5-benzenetricarboxylate|solvent=water",True,False,False,train
35,10.1002/chem.200801856,2009,"{""M_L_ratio"": 2.0, ""metal_concentration_mM"": 175.0, ""metal_precursor"": ""al(no3)3.9h2o"", ""modulator"": ""sodium hydroxide"", ""organic_linker"": ""trimethyl 1,3,5-benzenetricarboxylate"", ""solvent"": ""water"", ""temperature_C"": 210.0, ""time_h"": 3.0}","metal=al(no3)3.9h2o|linker=trimethyl 1,3,5-benzenetricarboxylate|solvent=water",True,False,False,train
36,10.1002/chem.201901939,2019,"{""M_L_ratio"": 2.0, ""metal_concentration_mM"": 133.0, ""metal_precursor"": ""fecl3.6h2o"", ""modulator"": null, ""organic_linker"": ""2-aminoterephthalic acid"", ""solvent"": ""dimethylformamide"", ""temperature_C"": 120.0, ""time_h"": 24.0}",metal=fecl3.6h2o|linker=2-aminoterephthalic acid|solvent=dimethylformamide,True,False,False,train
37,10.1002/chem.201901939,2019,"{""M_L_ratio"": 1.0, ""metal_concentration_mM"": 67.0, ""metal_precursor"": ""fecl3.6h2o"", ""modulator"": null, ""organic_linker"": ""2-aminoterephthalic acid"", ""solvent"": ""dimethylformamide"", ""temperature_C"": 120.0, ""time_h"": 24.0}",metal=fecl3.6h2o|linker=2-aminoterephthalic acid|solvent=dimethylformamide,True,False,False,train
38,10.1002/chem.201901939,2019,"{""M_L_ratio"": 0.5, ""metal_concentration_mM"": 33.0, ""metal_precursor"": ""fecl3.6h2o"", ""modulator"": null, ""organic_linker"": ""2-aminoterephthalic acid"", ""solvent"": ""dimethylformamide"", ""temperature_C"": 120.0, ""time_h"": 24.0}",metal=fecl3.6h2o|linker=2-aminoterephthalic acid|solvent=dimethylformamide,True,False,False,train
39,10.1002/chem.201901939,2019,"{""M_L_ratio"": 0.2, ""metal_concentration_mM"": 13.0, ""metal_precursor"": ""fecl3.6h2o"", ""modulator"": null, ""organic_linker"": ""2-aminoterephthalic acid"", ""solvent"": ""dimethylformamide"", ""temperature_C"": 120.0, ""time_h"": 24.0}",metal=fecl3.6h2o|linker=2-aminoterephthalic acid|solvent=dimethylformamide,True,False,False,train
40,10.1002/chem.201901939,2019,"{""M_L_ratio"": 2.0, ""metal_concentration_mM"": 133.0, ""metal_precursor"": ""cocl2.6h2o"", ""modulator"": null, ""organic_linker"": ""2-aminoterephthalic acid"", ""solvent"": ""dimethylformamide"", ""temperature_C"": 120.0, ""time_h"": 24.0}",metal=cocl2.6h2o|linker=2-aminoterephthalic acid|solvent=dimethylformamide,True,False,False,train
41,10.1039/c3ce41095a,2013,"{""M_L_ratio"": 6.0, ""metal_concentration_mM"": 60.0, ""metal_precursor"": ""cu(no3)2.3h2o"", ""modulator"": ""tetrafluoroboric acid (40% in water)"", ""organic_linker"": ""5-(bis(4-carboxybenzyl)amino)isophthalic acid monohydrate"", ""solvent"": ""dimethylformamide"", ""temperature_C"": 75.0, ""time_h"": 36.0}",metal=cu(no3)2.3h2o|linker=5-(bis(4-carboxybenzyl)amino)isophthalic acid monohydrate|solvent=dimethylformamide,True,False,False,train
42,10.1039/c3ce41095a,2013,"{""M_L_ratio"": 6.0, ""metal_concentration_mM"": 120.0, ""metal_precursor"": ""cu(no3)2.3h2o"", ""modulator"": ""tetrafluoroboric acid (40% in water)"", ""organic_linker"": ""5-(bis(4-carboxybenzyl)amino)isophthalic acid monohydrate"", ""solvent"": ""dimethylformamide and methanol"", ""temperature_C"": 75.0, ""time_h"": 60.0}",metal=cu(no3)2.3h2o|linker=5-(bis(4-carboxybenzyl)amino)isophthalic acid monohydrate|solvent=dimethylformamide + methanol,True,False,False,train
43,10.1021/acs.inorgchem.0c02674,2020,"{""M_L_ratio"": 0.73, ""metal_concentration_mM"": 36.0, ""metal_precursor"": ""zrocl2.8h2o"", ""modulator"": ""hydrochloric acid"", ""organic_linker"": ""2,5-dihydroxyterephthalic acid"", ""solvent"": ""dimethylformamide"", ""temperature_C"": 80.0, ""time_h"": 12.0}","metal=zrocl2.8h2o|linker=2,5-dihydroxyterephthalic acid|solvent=dimethylformamide",True,False,False,train
44,10.1021/acs.cgd.1c00385,2021,"{""M_L_ratio"": 1.0, ""metal_concentration_mM"": 50.0, ""metal_precursor"": ""co(no3)2.6h2o"", ""modulator"": ""naoh solution (ph adjustment)"", ""organic_linker"": ""2,6-di(1h-imidazol-1-yl)pyridine and 4,4'-oxybis(benzoic acid)"", ""solvent"": ""water"", ""temperature_C"": 140.0, ""time_h"": 72.0}","metal=co(no3)2.6h2o|linker=2,6-di(1h-imidazol-1-yl)pyridine + 4,4'-oxybis(benzoic acid)|solvent=water",True,False,False,train
45,10.1021/acs.cgd.1c00385,2021,"{""M_L_ratio"": 1.0, ""metal_concentration_mM"": 50.0, ""metal_precursor"": ""co(no3)2.6h2o"", ""modulator"": ""naoh solution (ph adjustment)"", ""organic_linker"": ""2,6-di(1h-imidazol-1-yl)pyridine and 1,2,4,5-benzenetetracarboxylic acid"", ""solvent"": ""water"", ""temperature_C"": 140.0, ""time_h"": 72.0}","metal=co(no3)2.6h2o|linker=1,2,4,5-benzenetetracarboxylic acid + 2,6-di(1h-imidazol-1-yl)pyridine|solvent=water",True,False,False,train
46,10.1021/acs.inorgchem.3c04060,2024,"{""M_L_ratio"": 0.62, ""metal_concentration_mM"": 42.0, ""metal_precursor"": ""cu(no3)2.5/2h2o"", ""modulator"": null, ""organic_linker"": ""5-aminoisophthalic acid"", ""solvent"": ""dimethylformamide and water"", ""temperature_C"": 100.0, ""time_h"": 6.0}",metal=cu(no3)2.5/2h2o|linker=5-aminoisophthalic acid|solvent=dimethylformamide + water,True,False,False,train
47,10.1021/cg201059d,2012,"{""M_L_ratio"": 2.0, ""metal_concentration_mM"": 67.0, ""metal_precursor"": ""zn(no3)2.6h2o"", ""modulator"": ""hbf4"", ""organic_linker"": ""anthracene-9,10-dicarboxylic acid"", ""solvent"": ""dimethylformamide"", ""temperature_C"": 120.0, ""time_h"": 168.0}","metal=zn(no3)2.6h2o|linker=anthracene-9,10-dicarboxylic acid|solvent=dimethylformamide",True,False,False,train
48,10.1021/cg201059d,2012,"{""M_L_ratio"": 2.0, ""metal_concentration_mM"": 67.0, ""metal_precursor"": ""zn(no3)2.6h2o"", ""modulator"": null, ""organic_linker"": ""anthracene-9,10-dicarboxylic acid"", ""solvent"": ""n,n-dimethylacetamide"", ""temperature_C"": 60.0, ""time_h"": 72.0}","metal=zn(no3)2.6h2o|linker=anthracene-9,10-dicarboxylic acid|solvent=n,n-dimethylacetamide",True,False,False,train
49,10.1021/cg201059d,2012,"{""M_L_ratio"": 2.0, ""metal_concentration_mM"": 67.0, ""metal_precursor"": ""zn(no3)2.6h2o"", ""modulator"": ""hbf4"", ""organic_linker"": ""anthracene-9,10-dicarboxylic acid and 4,4'-bipyridyl"", ""solvent"": ""dimethylformamide"", ""temperature_C"": 120.0, ""time_h"": 48.0}","metal=zn(no3)2.6h2o|linker=4,4'-bipyridyl + anthracene-9,10-dicarboxylic acid|solvent=dimethylformamide",True,False,False,train
51,10.1016/j.micromeso.2015.07.001,2015,"{""M_L_ratio"": 2.0, ""metal_concentration_mM"": 9.0, ""metal_precursor"": ""cu(no3)2.2h2o"", ""modulator"": ""pyridine and nitric acid"", ""organic_linker"": ""5,5'-(1,3-phenylenebis(methylene))bis(oxy)diisophthalic acid"", ""solvent"": ""dimethylformamide"", ""temperature_C"": 85.0, ""time_h"": 96.0}","metal=cu(no3)2.2h2o|linker=5,5'-(1,3-phenylenebis(methylene))bis(oxy)diisophthalic acid|solvent=dimethylformamide",True,False,False,train
52,10.1016/j.micromeso.2015.07.001,2015,"{""M_L_ratio"": 2.0, ""metal_concentration_mM"": 17.0, ""metal_precursor"": ""cu(no3)2.2h2o"", ""modulator"": ""nitric acid"", ""organic_linker"": ""5,5'-(1,3-phenylenebis(methylene))bis(oxy)diisophthalic acid"", ""solvent"": ""water and ethanol"", ""temperature_C"": 85.0, ""time_h"": 96.0}","metal=cu(no3)2.2h2o|linker=5,5'-(1,3-phenylenebis(methylene))bis(oxy)diisophthalic acid|solvent=ethanol + water",True,False,False,train
53,10.1016/j.ica.2004.07.029,2005,"{""M_L_ratio"": 5.06, ""metal_concentration_mM"": null, ""metal_precursor"": ""moo3"", ""modulator"": ""hf"", ""organic_linker"": ""tetra-2-pyridylpyrazine"", ""solvent"": ""water"", ""temperature_C"": 170.0, ""time_h"": 48.0}",metal=moo3|linker=tetra-2-pyridylpyrazine|solvent=water,True,False,False,train
54,10.1016/j.ica.2004.07.029,2005,"{""M_L_ratio"": 5.03, ""metal_concentration_mM"": null, ""metal_precursor"": ""moo3"", ""modulator"": ""t-butylphosphonic acid and hf"", ""organic_linker"": ""tetra-2-pyridylpyrazine"", ""solvent"": ""water"", ""temperature_C"": 170.0, ""time_h"": 48.0}",metal=moo3|linker=tetra-2-pyridylpyrazine|solvent=water,True,False,False,train
56,10.1039/d1mh01663f,2021,"{""M_L_ratio"": 1.0, ""metal_concentration_mM"": 100.0, ""metal_precursor"": ""fecl3.6h2o"", ""modulator"": null, ""organic_linker"": ""terephthalic acid"", ""solvent"": ""dimethylformamide"", ""temperature_C"": 120.0, ""time_h"": 24.0}",metal=fecl3.6h2o|linker=terephthalic acid|solvent=dimethylformamide,True,False,False,train
57,10.1039/d1mh01663f,2021,"{""M_L_ratio"": 1.0, ""metal_concentration_mM"": 100.0, ""metal_precursor"": ""fecl2.4h2o"", ""modulator"": null, ""organic_linker"": ""terephthalic acid"", ""solvent"": ""dimethylformamide"", ""temperature_C"": 150.0, ""time_h"": 72.0}",metal=fecl2.4h2o|linker=terephthalic acid|solvent=dimethylformamide,True,False,False,train
58,10.1039/d1mh01663f,2021,"{""M_L_ratio"": 1.0, ""metal_concentration_mM"": 100.0, ""metal_precursor"": ""fe(bf4)2.6h2o"", ""modulator"": null, ""organic_linker"": ""terephthalic acid"", ""solvent"": ""dimethylformamide"", ""temperature_C"": 150.0, ""time_h"": 72.0}",metal=fe(bf4)2.6h2o|linker=terephthalic acid|solvent=dimethylformamide,True,False,False,train
59,10.1039/d1mh01663f,2021,"{""M_L_ratio"": 1.0, ""metal_concentration_mM"": 100.0, ""metal_precursor"": ""fe(bf4)2.6h2o"", ""modulator"": ""acetic acid"", ""organic_linker"": ""terephthalic acid"", ""solvent"": ""dimethylformamide"", ""temperature_C"": 120.0, ""time_h"": 24.0}",metal=fe(bf4)2.6h2o|linker=terephthalic acid|solvent=dimethylformamide,True,False,False,train
60,10.1039/d1mh01663f,2021,"{""M_L_ratio"": 1.0, ""metal_concentration_mM"": 12.0, ""metal_precursor"": ""fe(so4).7h2o"", ""modulator"": ""acetic acid"", ""organic_linker"": ""terephthalic acid"", ""solvent"": ""dimethylformamide"", ""temperature_C"": 120.0, ""time_h"": 24.0}",metal=fe(so4).7h2o|linker=terephthalic acid|solvent=dimethylformamide,True,False,False,train
61,10.1039/d1mh01663f,2021,"{""M_L_ratio"": 1.0, ""metal_concentration_mM"": 12.0, ""metal_precursor"": ""fe(so4).7h2o"", ""modulator"": ""acetic acid"", ""organic_linker"": ""2-bromoterephthalic acid"", ""solvent"": ""dimethylformamide"", ""temperature_C"": 120.0, ""time_h"": 24.0}",metal=fe(so4).7h2o|linker=2-bromoterephthalic acid|solvent=dimethylformamide,True,False,False,train
62,10.1016/j.ica.2012.01.011,2012,"{""M_L_ratio"": 1.09, ""metal_concentration_mM"": 38.0, ""metal_precursor"": ""cu(ch3coo)2"", ""modulator"": ""hydrofluoric acid (48 wt.% in h2o)"", ""organic_linker"": ""1,4-butylenediphosphonic acid and n1,n1,n7,n7-tetrakis(2-pyridylmethyl)heptane-1,7-diamine"", ""solvent"": ""water"", ""temperature_C"": 100.0, ""time_h"": 48.0}","metal=cu(ch3coo)2|linker=1,4-butylenediphosphonic acid + n1,n1,n7,n7-tetrakis(2-pyridylmethyl)heptane-1,7-diamine|solvent=water",True,False,False,train
63,10.1016/j.ica.2012.01.011,2012,"{""M_L_ratio"": 1.38, ""metal_concentration_mM"": 38.0, ""metal_precursor"": ""cu(ch3coo)2"", ""modulator"": ""hydrofluoric acid (48 wt.% in h2o)"", ""organic_linker"": ""1,4-butylenediphosphonic acid and n1,n1,n5,n5-tetrakis(2-pyridylmethyl)pentane-1,5-diamine"", ""solvent"": ""water"", ""temperature_C"": 100.0, ""time_h"": 48.0}","metal=cu(ch3coo)2|linker=1,4-butylenediphosphonic acid + n1,n1,n5,n5-tetrakis(2-pyridylmethyl)pentane-1,5-diamine|solvent=water",True,False,False,train
64,10.1039/b713705b,2008,"{""M_L_ratio"": 1.51, ""metal_concentration_mM"": 10.0, ""metal_precursor"": ""cu2(mecoo)4.2h2o"", ""modulator"": null, ""organic_linker"": ""hexacarboxylic polychlorotriphenylmethyl radical and 4,4'-bipyridine"", ""solvent"": ""water and tetrahydrofuran"", ""temperature_C"": 25.0, ""time_h"": 1080.0}","metal=cu2(mecoo)4.2h2o|linker=4,4'-bipyridine + hexacarboxylic polychlorotriphenylmethyl radical|solvent=tetrahydrofuran + water",True,False,False,train
65,10.1039/b713705b,2008,"{""M_L_ratio"": 1.51, ""metal_concentration_mM"": 10.0, ""metal_precursor"": ""cu2(mecoo)4.2h2o"", ""modulator"": null, ""organic_linker"": ""ah-ptmhc and 4,4'-bipyridine"", ""solvent"": ""water and ethanol"", ""temperature_C"": 25.0, ""time_h"": 480.0}","metal=cu2(mecoo)4.2h2o|linker=4,4'-bipyridine + ah-ptmhc|solvent=ethanol + water",True,False,False,holdout
66,10.1039/c6nj00822d,2016,"{""M_L_ratio"": 16.0, ""metal_concentration_mM"": 615.0, ""metal_precursor"": ""la(ch3so3)3"", ""modulator"": ""sodium hydroxide"", ""organic_linker"": ""2-nitroterephthalic acid"", ""solvent"": ""water"", ""temperature_C"": 180.0, ""time_h"": 72.0}",metal=la(ch3so3)3|linker=2-nitroterephthalic acid|solvent=water,True,False,False,train
67,10.1039/c6nj00822d,2016,"{""M_L_ratio"": 8.0, ""metal_concentration_mM"": 364.0, ""metal_precursor"": ""nd(ch3so3)3"", ""modulator"": ""sodium hydroxide"", ""organic_linker"": ""2-nitroterephthalic acid"", ""solvent"": ""water"", ""temperature_C"": 180.0, ""time_h"": 72.0}",metal=nd(ch3so3)3|linker=2-nitroterephthalic acid|solvent=water,True,False,False,holdout
69,10.1039/c6nj00822d,2016,"{""M_L_ratio"": 8.0, ""metal_concentration_mM"": 308.0, ""metal_precursor"": ""eu(ch3so3)3"", ""modulator"": ""sodium hydroxide"", ""organic_linker"": ""2-nitroterephthalic acid"", ""solvent"": ""water"", ""temperature_C"": 180.0, ""time_h"": 72.0}",metal=eu(ch3so3)3|linker=2-nitroterephthalic acid|solvent=water,True,False,False,holdout
70,10.1039/c6nj00822d,2016,"{""M_L_ratio"": 8.0, ""metal_concentration_mM"": 308.0, ""metal_precursor"": ""gd(ch3so3)3"", ""modulator"": ""sodium hydroxide"", ""organic_linker"": ""2-nitroterephthalic acid"", ""solvent"": ""water"", ""temperature_C"": 180.0, ""time_h"": 72.0}",metal=gd(ch3so3)3|linker=2-nitroterephthalic acid|solvent=water,True,False,False,train
71,10.1039/c6nj00822d,2016,"{""M_L_ratio"": 8.0, ""metal_concentration_mM"": 308.0, ""metal_precursor"": ""tb(ch3so3)3"", ""modulator"": ""sodium hydroxide"", ""organic_linker"": ""2-nitroterephthalic acid"", ""solvent"": ""water"", ""temperature_C"": 180.0, ""time_h"": 72.0}",metal=tb(ch3so3)3|linker=2-nitroterephthalic acid|solvent=water,True,False,False,holdout
72,10.1039/c6nj00822d,2016,"{""M_L_ratio"": 8.0, ""metal_concentration_mM"": 308.0, ""metal_precursor"": ""er(ch3so3)3"", ""modulator"": ""sodium hydroxide"", ""organic_linker"": ""2-nitroterephthalic acid"", ""solvent"": ""water"", ""temperature_C"": 180.0, ""time_h"": 72.0}",metal=er(ch3so3)3|linker=2-nitroterephthalic acid|solvent=water,True,False,False,train
73,10.1021/ic000209d,2000,"{""M_L_ratio"": 0.8, ""metal_concentration_mM"": 53.0, ""metal_precursor"": ""er(no3)3.5h2o"", ""modulator"": null, ""organic_linker"": ""cis,cis-1,3,5-cyclohexanetricarboxylic acid"", ""solvent"": ""water"", ""temperature_C"": 170.0, ""time_h"": 24.0}","metal=er(no3)3.5h2o|linker=cis,cis-1,3,5-cyclohexanetricarboxylic acid|solvent=water",True,False,False,train
74,10.1021/ja905690t,2009,"{""M_L_ratio"": 1.0, ""metal_concentration_mM"": 100.0, ""metal_precursor"": ""ca(ch3coo)2"", ""modulator"": null, ""organic_linker"": ""l-tartaric acid"", ""solvent"": ""water"", ""temperature_C"": 25.0, ""time_h"": 0.1}",metal=ca(ch3coo)2|linker=l-tartaric acid|solvent=water,True,False,False,holdout
75,10.1021/ja905690t,2009,"{""M_L_ratio"": 1.0, ""metal_concentration_mM"": 100.0, ""metal_precursor"": ""ca(ch3coo)2"", ""modulator"": null, ""organic_linker"": ""l-tartaric acid"", ""solvent"": ""water"", ""temperature_C"": 125.0, ""time_h"": 48.0}",metal=ca(ch3coo)2|linker=l-tartaric acid|solvent=water,True,False,False,holdout
76,10.1021/ja905690t,2009,"{""M_L_ratio"": 1.0, ""metal_concentration_mM"": 100.0, ""metal_precursor"": ""ca(ch3coo)2"", ""modulator"": null, ""organic_linker"": ""d,l-tartaric acid"", ""solvent"": ""water"", ""temperature_C"": 60.0, ""time_h"": 48.0}","metal=ca(ch3coo)2|linker=d,l-tartaric acid|solvent=water",True,False,False,train
77,10.1021/ja905690t,2009,"{""M_L_ratio"": 1.0, ""metal_concentration_mM"": 100.0, ""metal_precursor"": ""ca(ch3coo)2"", ""modulator"": null, ""organic_linker"": ""d,l-tartaric acid"", ""solvent"": ""water"", ""temperature_C"": 200.0, ""time_h"": 48.0}","metal=ca(ch3coo)2|linker=d,l-tartaric acid|solvent=water",True,False,False,train
78,10.1021/ja905690t,2009,"{""M_L_ratio"": 1.0, ""metal_concentration_mM"": 100.0, ""metal_precursor"": ""ca(ch3coo)2"", ""modulator"": null, ""organic_linker"": ""meso-tartaric acid hydrate"", ""solvent"": ""water"", ""temperature_C"": 25.0, ""time_h"": 0.1}",metal=ca(ch3coo)2|linker=meso-tartaric acid hydrate|solvent=water,True,False,False,train
79,10.1021/ja905690t,2009,"{""M_L_ratio"": 1.0, ""metal_concentration_mM"": 100.0, ""metal_precursor"": ""ca(ch3coo)2"", ""modulator"": null, ""organic_linker"": ""meso-tartaric acid hydrate"", ""solvent"": ""water"", ""temperature_C"": 100.0, ""time_h"": 48.0}",metal=ca(ch3coo)2|linker=meso-tartaric acid hydrate|solvent=water,True,False,False,train
80,10.1021/ja905690t,2009,"{""M_L_ratio"": 1.0, ""metal_concentration_mM"": 100.0, ""metal_precursor"": ""ca(ch3coo)2"", ""modulator"": null, ""organic_linker"": ""meso-tartaric acid hydrate"", ""solvent"": ""water"", ""temperature_C"": 150.0, ""time_h"": 48.0}",metal=ca(ch3coo)2|linker=meso-tartaric acid hydrate|solvent=water,True,False,False,train
